meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1143,7787,1,77,1.0,1.0,SOFT,0
1143,7787,1,21,1.0,8.0,HARD,0
1143,7787,1,1,1.0,8.0,MEDIUM,0
1143,7787,1,16,,,MEDIUM,0
1143,7787,1,27,1.0,8.0,MEDIUM,0
1143,7787,1,22,1.0,8.0,MEDIUM,0
1143,7787,1,2,1.0,1.0,HARD,0
1143,7787,1,11,1.0,1.0,HARD,0
1143,7787,1,23,1.0,6.0,MEDIUM,0
1143,7787,1,63,1.0,7.0,MEDIUM,0
1143,7787,1,18,1.0,8.0,MEDIUM,1
1143,7787,1,14,1.0,8.0,MEDIUM,1
1143,7787,1,4,1.0,8.0,MEDIUM,0
1143,7787,1,24,1.0,1.0,SOFT,0
1143,7787,1,55,1.0,7.0,MEDIUM,0
1143,7787,1,44,1.0,8.0,MEDIUM,0
1143,7787,1,10,1.0,8.0,SOFT,0
1143,7787,1,81,1.0,8.0,MEDIUM,0
1143,7787,1,31,1.0,1.0,SOFT,0
1143,7787,1,20,1.0,7.0,MEDIUM,0
1143,7787,2,31,1.0,8.0,HARD,0
1143,7787,2,11,1.0,2.0,MEDIUM,0
1143,7787,2,2,1.0,2.0,MEDIUM,0
1143,7787,2,24,1.0,8.0,HARD,0
1143,7787,2,77,1.0,8.0,HARD,0
1143,7787,3,2,2.0,8.0,HARD,1
1143,7787,3,11,2.0,8.0,HARD,0
1143,7787,2,63,7.0,8.0,HARD,0
1143,7787,2,55,7.0,8.0,HARD,0
1143,7787,2,20,7.0,8.0,HARD,0
1143,7787,2,1,8.0,55.0,HARD,0
1143,7787,2,44,9.0,55.0,HARD,0
1143,7787,2,14,8.0,55.0,HARD,0
1143,7787,2,10,8.0,55.0,HARD,0
1143,7787,2,27,8.0,55.0,HARD,0
1143,7787,2,18,8.0,55.0,HARD,0
1143,7787,3,63,8.0,17.0,HARD,1
1143,7787,2,22,8.0,54.0,HARD,0
1143,7787,2,4,8.0,55.0,HARD,0
1143,7787,2,81,8.0,54.0,HARD,0
1143,7787,3,55,8.0,55.0,HARD,1
1143,7787,3,31,8.0,55.0,HARD,7
1143,7787,2,21,8.0,45.0,MEDIUM,0
1143,7787,4,11,8.0,55.0,HARD,1
1143,7787,3,24,8.0,54.0,HARD,7
1143,7787,4,2,8.0,36.0,MEDIUM,0
1143,7787,3,77,8.0,53.0,HARD,7
1143,7787,3,20,8.0,52.0,HARD,1
1143,7787,5,2,36.0,54.0,HARD,7
1143,7787,3,21,45.0,54.0,SOFT,0
1143,7787,4,77,53.0,54.0,SOFT,0
1143,7787,3,81,54.0,55.0,SOFT,0
1143,7787,4,24,54.0,55.0,SOFT,0
1143,7787,3,22,54.0,55.0,SOFT,0
1143,7787,6,2,55.0,55.0,SOFT,0
1143,7787,5,77,55.0,54.0,SOFT,0
1143,7787,4,21,55.0,55.0,SOFT,4
1143,7787,3,1,56.0,57.0,SOFT,3
1143,7787,3,44,56.0,57.0,SOFT,4
1143,7787,3,14,55.0,57.0,SOFT,4
1143,7787,4,55,55.0,57.0,SOFT,4
1143,7787,3,10,55.0,56.0,SOFT,0
1143,7787,3,18,55.0,57.0,SOFT,5
1143,7787,5,11,55.0,57.0,SOFT,0
1143,7787,3,4,55.0,57.0,SOFT,0
1143,7787,4,31,55.0,56.0,SOFT,0
1143,7787,3,27,55.0,57.0,SOFT,4
1143,7787,4,81,55.0,57.0,SOFT,0
1143,7787,5,24,55.0,57.0,SOFT,0
1143,7787,4,22,55.0,57.0,SOFT,4
1143,7787,6,77,55.0,57.0,SOFT,2
1143,7787,7,2,55.0,56.0,SOFT,1
1143,7787,5,21,55.0,56.0,SOFT,0
1143,7787,4,1,58.0,58.0,SOFT,5
1143,7787,4,14,57.0,58.0,SOFT,4
1143,7787,4,44,58.0,58.0,SOFT,4
1143,7787,4,18,57.0,58.0,SOFT,6
1143,7787,5,55,57.0,58.0,SOFT,4
1143,7787,6,11,57.0,58.0,SOFT,0
1143,7787,4,27,57.0,58.0,SOFT,0
1143,7787,4,4,57.0,58.0,SOFT,4
1143,7787,5,22,57.0,58.0,SOFT,8
1143,7787,6,24,57.0,58.0,SOFT,2
1143,7787,5,81,57.0,58.0,SOFT,0
1143,7787,7,77,57.0,58.0,SOFT,4
