date,session_key,driver_number,lane_duration,stop_duration,pit_duration,lap_number,meeting_key
2023-07-02T13:04:43.005000+00:00,9118,20,26.5,,26.5,1,1213
2023-07-02T13:05:01.224000+00:00,9118,22,29.6,,29.6,1,1213
2023-07-02T13:06:14.582000+00:00,9118,1,16.3,,16.3,2,1213
2023-07-02T13:06:16.238000+00:00,9118,16,16.3,,16.3,2,1213
2023-07-02T13:06:17.863000+00:00,9118,55,16.3,,16.3,2,1213
2023-07-02T13:06:20.738000+00:00,9118,44,16.4,,16.4,2,1213
2023-07-02T13:06:23.691000+00:00,9118,4,18.0,,18.0,2,1213
2023-07-02T13:06:25.347000+00:00,9118,14,16.6,,16.6,2,1213
2023-07-02T13:06:26.707000+00:00,9118,27,16.7,,16.7,2,1213
2023-07-02T13:06:28.160000+00:00,9118,18,16.6,,16.6,2,1213
2023-07-02T13:06:29.488000+00:00,9118,10,16.3,,16.3,2,1213
2023-07-02T13:06:31.050000+00:00,9118,23,16.7,,16.7,2,1213
2023-07-02T13:06:36.097000+00:00,9118,63,17.9,,17.9,2,1213
2023-07-02T13:06:37.675000+00:00,9118,31,18.1,,18.1,2,1213
2023-07-02T13:06:38.706000+00:00,9118,11,17.4,,17.4,2,1213
2023-07-02T13:06:40.534000+00:00,9118,24,17.4,,17.4,2,1213
2023-07-02T13:06:41.269000+00:00,9118,81,17.3,,17.3,2,1213
2023-07-02T13:06:42.800000+00:00,9118,2,17.3,,17.3,2,1213
2023-07-02T13:06:44.597000+00:00,9118,77,17.1,,17.1,2,1213
2023-07-02T13:06:45.707000+00:00,9118,21,17.0,,17.0,2,1213
2023-07-02T13:06:50.097000+00:00,9118,22,16.2,,16.2,2,1213
2023-07-02T13:06:57.519000+00:00,9118,20,25.6,,25.6,2,1213
2023-07-02T13:14:34.839000+00:00,9118,24,24.3,,24.3,8,1213
2023-07-02T13:18:03.819000+00:00,9118,27,21.8,,21.8,11,1213
2023-07-02T13:19:23.521000+00:00,9118,21,21.3,,21.3,12,1213
2023-07-02T13:21:33.050000+00:00,9118,44,21.9,,21.9,14,1213
2023-07-02T13:21:34.425000+00:00,9118,4,21.2,,21.2,14,1213
2023-07-02T13:21:42.472000+00:00,9118,10,21.8,,21.8,14,1213
2023-07-02T13:21:44.846000+00:00,9118,23,21.5,,21.5,14,1213
2023-07-02T13:21:46.206000+00:00,9118,63,22.2,,22.2,14,1213
2023-07-02T13:21:49.221000+00:00,9118,31,22.0,,22.0,14,1213
2023-07-02T13:21:50.378000+00:00,9118,81,22.4,,22.4,14,1213
2023-07-02T13:21:55.831000+00:00,9118,2,23.1,,23.1,14,1213
2023-07-02T13:23:00.314000+00:00,9118,16,23.4,,23.4,15,1213
2023-07-02T13:23:08.314000+00:00,9118,55,26.2,,26.2,15,1213
2023-07-02T13:23:11.501000+00:00,9118,14,22.3,,22.3,15,1213
2023-07-02T13:23:19.298000+00:00,9118,18,24.3,,24.3,15,1213
2023-07-02T13:30:59.930000+00:00,9118,77,31.7,,31.7,21,1213
2023-07-02T13:32:10.351000+00:00,9118,81,29.9,,29.9,22,1213
2023-07-02T13:33:18.069000+00:00,9118,22,27.2,,27.2,23,1213
2023-07-02T13:33:35.443000+00:00,9118,1,21.3,,21.3,24,1213
2023-07-02T13:35:09.988000+00:00,9118,11,21.6,,21.6,25,1213
2023-07-02T13:46:31.476000+00:00,9118,20,22.2,,22.2,34,1213
2023-07-02T13:48:33.021000+00:00,9118,18,22.0,,22.0,36,1213
2023-07-02T13:50:02.972000+00:00,9118,21,21.0,,21.0,37,1213
2023-07-02T13:51:11.206000+00:00,9118,24,21.9,,21.9,38,1213
2023-07-02T13:53:26.781000+00:00,9118,31,30.4,,30.4,40,1213
2023-07-02T13:53:44.797000+00:00,9118,77,21.9,,21.9,40,1213
2023-07-02T13:54:01.562000+00:00,9118,4,22.0,,22.0,41,1213
2023-07-02T13:54:19.468000+00:00,9118,63,21.7,,21.7,41,1213
2023-07-02T13:54:32.593000+00:00,9118,23,27.6,,27.6,41,1213
2023-07-02T13:54:59.592000+00:00,9118,81,22.3,,22.3,41,1213
2023-07-02T13:55:18.873000+00:00,9118,44,27.7,,27.7,42,1213
2023-07-02T13:57:02.277000+00:00,9118,2,21.5,,21.5,43,1213
2023-07-02T13:57:18.496000+00:00,9118,22,21.3,,21.3,43,1213
2023-07-02T13:57:37.886000+00:00,9118,14,21.9,,21.9,44,1213
2023-07-02T13:57:58.776000+00:00,9118,10,27.8,,27.8,44,1213
2023-07-02T13:58:39.385000+00:00,9118,55,28.5,,28.5,45,1213
2023-07-02T14:00:48.336000+00:00,9118,16,21.4,,21.4,47,1213
2023-07-02T14:02:53.490000+00:00,9118,1,21.6,,21.6,49,1213
2023-07-02T14:04:28.879000+00:00,9118,11,21.2,,21.2,50,1213
2023-07-02T14:09:50.842000+00:00,9118,18,21.8,,21.8,54,1213
2023-07-02T14:26:05.356000+00:00,9118,1,21.3,,21.3,69,1213
