meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1213,9118,1,14,1,2,HARD,0
1213,9118,1,27,1,2,MEDIUM,3
1213,9118,1,18,1,2,MEDIUM,0
1213,9118,1,16,1,2,MEDIUM,0
1213,9118,1,2,1,2,MEDIUM,0
1213,9118,1,22,1,1,MEDIUM,0
1213,9118,1,31,1,2,MEDIUM,0
1213,9118,1,44,1,2,MEDIUM,0
1213,9118,1,20,1,1,HARD,0
1213,9118,1,23,1,2,MEDIUM,0
1213,9118,1,24,1,2,MEDIUM,0
1213,9118,1,55,1,2,MEDIUM,0
1213,9118,1,77,1,2,HARD,0
1213,9118,1,10,1,2,MEDIUM,0
1213,9118,1,1,1,2,MEDIUM,0
1213,9118,1,21,1,2,MEDIUM,0
1213,9118,1,63,1,2,MEDIUM,0
1213,9118,1,4,1,2,MEDIUM,0
1213,9118,1,81,1,2,MEDIUM,0
1213,9118,1,11,1,2,MEDIUM,0
1213,9118,2,20,2,2,MEDIUM,0
1213,9118,2,22,2,2,HARD,0
1213,9118,2,1,3,24,MEDIUM,0
1213,9118,2,55,3,15,MEDIUM,0
1213,9118,2,16,3,15,MEDIUM,0
1213,9118,2,44,3,14,MEDIUM,2
1213,9118,2,4,3,14,MEDIUM,2
1213,9118,2,27,3,11,MEDIUM,0
1213,9118,2,18,3,15,MEDIUM,2
1213,9118,2,14,3,15,HARD,2
1213,9118,2,10,3,14,MEDIUM,0
1213,9118,2,23,3,14,MEDIUM,0
1213,9118,2,11,3,25,MEDIUM,2
1213,9118,2,63,3,14,MEDIUM,2
1213,9118,2,31,3,14,MEDIUM,2
1213,9118,2,24,3,8,MEDIUM,0
1213,9118,2,77,3,21,HARD,0
1213,9118,2,81,3,14,MEDIUM,2
1213,9118,2,2,3,14,MEDIUM,0
1213,9118,2,21,3,12,MEDIUM,2
1213,9118,3,22,3,23,HARD,1
1213,9118,3,20,3,34,HARD,0
1213,9118,3,24,9,38,HARD,0
1213,9118,3,27,12,12,HARD,0
1213,9118,3,21,13,37,HARD,0
1213,9118,3,4,15,41,HARD,0
1213,9118,3,44,15,42,HARD,0
1213,9118,3,10,15,44,HARD,0
1213,9118,3,31,15,40,HARD,0
1213,9118,3,63,15,41,HARD,0
1213,9118,3,23,15,41,HARD,0
1213,9118,3,81,15,22,HARD,0
1213,9118,3,2,15,43,HARD,0
1213,9118,3,16,16,47,MEDIUM,0
1213,9118,3,55,16,45,MEDIUM,0
1213,9118,3,14,16,44,MEDIUM,0
1213,9118,3,18,16,36,HARD,0
1213,9118,3,77,22,40,MEDIUM,0
1213,9118,4,81,23,41,HARD,0
1213,9118,4,22,24,43,HARD,0
1213,9118,3,1,25,49,HARD,0
1213,9118,3,11,26,50,MEDIUM,0
1213,9118,4,20,35,70,HARD,1
1213,9118,4,18,37,54,HARD,0
1213,9118,4,21,38,70,MEDIUM,0
1213,9118,4,24,39,70,HARD,0
1213,9118,4,31,41,70,HARD,0
1213,9118,4,77,41,70,HARD,0
1213,9118,4,4,42,71,HARD,0
1213,9118,4,63,42,71,MEDIUM,0
1213,9118,4,23,42,71,HARD,0
1213,9118,5,81,42,70,MEDIUM,0
1213,9118,4,44,43,71,MEDIUM,0
1213,9118,4,2,44,70,HARD,0
1213,9118,5,22,44,70,MEDIUM,0
1213,9118,4,14,45,71,MEDIUM,0
1213,9118,4,10,45,71,MEDIUM,0
1213,9118,4,55,46,71,HARD,0
1213,9118,4,16,48,71,HARD,0
1213,9118,4,1,50,69,MEDIUM,0
1213,9118,4,11,51,71,HARD,0
1213,9118,5,18,55,71,MEDIUM,0
1213,9118,5,1,70,71,SOFT,3
