date,session_key,meeting_key,rainfall,wind_speed,track_temperature,air_temperature,humidity,pressure,wind_direction
2023-07-02T12:01:10.088000+00:00,9118,1213,0,1.0,31.2,21.7,56.0,934.2,90
2023-07-02T12:02:10.087000+00:00,9118,1213,0,1.2,31.1,21.6,55.0,934.2,110
2023-07-02T12:03:10.086000+00:00,9118,1213,0,1.2,31.0,21.6,55.0,934.2,171
2023-07-02T12:04:10.085000+00:00,9118,1213,0,0.6,30.8,21.6,55.0,934.2,9
2023-07-02T12:05:10.225000+00:00,9118,1213,0,0.8,30.6,21.5,55.0,934.2,69
2023-07-02T12:06:10.083000+00:00,9118,1213,0,0.6,30.9,21.6,55.0,934.2,83
2023-07-02T12:07:10.082000+00:00,9118,1213,0,1.1,30.9,21.5,55.0,934.2,100
2023-07-02T12:08:10.081000+00:00,9118,1213,0,1.2,30.7,21.5,56.0,934.2,99
2023-07-02T12:09:10.095000+00:00,9118,1213,0,1.8,30.5,21.5,54.0,934.2,62
2023-07-02T12:10:10.094000+00:00,9118,1213,0,0.8,30.7,21.6,54.0,934.2,83
2023-07-02T12:11:10.093000+00:00,9118,1213,0,1.0,30.8,21.6,54.0,934.2,143
2023-07-02T12:12:10.092000+00:00,9118,1213,0,0.8,31.2,21.6,54.0,934.2,56
2023-07-02T12:13:10.201000+00:00,9118,1213,0,0.8,31.2,21.7,53.0,934.2,68
2023-07-02T12:14:10.106000+00:00,9118,1213,0,1.2,31.2,21.8,54.0,934.2,68
2023-07-02T12:15:10.120000+00:00,9118,1213,0,1.1,31.2,21.9,51.0,934.0,70
2023-07-02T12:16:10.135000+00:00,9118,1213,0,2.2,31.2,21.9,51.0,934.2,59
2023-07-02T12:17:10.134000+00:00,9118,1213,0,1.8,31.4,21.9,50.0,934.0,77
2023-07-02T12:18:10.149000+00:00,9118,1213,0,1.5,31.3,21.9,51.0,934.0,69
2023-07-02T12:19:10.147000+00:00,9118,1213,0,2.2,31.0,21.8,52.0,934.0,60
2023-07-02T12:20:10.146000+00:00,9118,1213,1,1.6,31.0,21.7,53.0,934.0,49
2023-07-02T12:21:10.145000+00:00,9118,1213,1,1.3,30.7,21.8,53.0,934.0,80
2023-07-02T12:22:10.144000+00:00,9118,1213,0,1.5,30.8,21.7,53.0,934.2,102
2023-07-02T12:23:10.159000+00:00,9118,1213,0,1.0,31.1,21.9,53.0,934.0,67
2023-07-02T12:24:10.158000+00:00,9118,1213,0,1.7,31.7,21.9,53.0,934.0,67
2023-07-02T12:25:10.157000+00:00,9118,1213,0,1.8,32.0,21.9,53.0,934.0,73
2023-07-02T12:26:10.156000+00:00,9118,1213,0,1.2,32.0,22.0,53.0,934.0,67
2023-07-02T12:27:10.186000+00:00,9118,1213,0,1.7,32.5,22.0,51.0,934.0,68
2023-07-02T12:28:10.185000+00:00,9118,1213,0,1.7,32.0,22.1,52.0,934.0,87
2023-07-02T12:29:10.184000+00:00,9118,1213,0,0.6,32.3,22.2,51.0,934.0,52
2023-07-02T12:30:10.183000+00:00,9118,1213,0,0.8,33.3,22.2,51.0,934.2,66
2023-07-02T12:31:10.182000+00:00,9118,1213,0,1.6,33.3,22.1,52.0,934.0,96
2023-07-02T12:32:10.181000+00:00,9118,1213,0,1.0,32.7,22.2,51.0,934.0,64
2023-07-02T12:33:10.180000+00:00,9118,1213,0,2.0,32.7,22.2,51.0,934.0,65
2023-07-02T12:34:10.179000+00:00,9118,1213,0,0.8,32.7,22.2,52.0,934.0,51
2023-07-02T12:35:10.177000+00:00,9118,1213,0,0.6,33.2,22.3,52.0,934.2,0
2023-07-02T12:36:10.176000+00:00,9118,1213,0,0.5,33.2,22.3,51.0,934.0,64
2023-07-02T12:37:10.175000+00:00,9118,1213,0,0.6,33.2,22.2,51.0,934.0,24
2023-07-02T12:38:10.190000+00:00,9118,1213,0,0.6,32.4,22.1,50.0,934.0,0
2023-07-02T12:39:10.189000+00:00,9118,1213,0,0.0,32.4,22.1,51.0,934.0,0
2023-07-02T12:40:10.188000+00:00,9118,1213,0,0.0,32.6,22.2,51.0,934.0,51
2023-07-02T12:41:10.187000+00:00,9118,1213,0,0.6,33.3,22.2,51.0,934.0,291
2023-07-02T12:42:10.188000+00:00,9118,1213,0,0.8,33.8,22.2,50.0,934.0,341
2023-07-02T12:43:10.185000+00:00,9118,1213,0,0.5,33.6,22.3,49.0,934.0,357
2023-07-02T12:44:10.184000+00:00,9118,1213,0,0.6,33.5,22.3,50.0,934.0,329
2023-07-02T12:45:10.198000+00:00,9118,1213,0,0.4,32.8,22.3,50.0,934.0,209
2023-07-02T12:46:10.197000+00:00,9118,1213,0,0.4,32.7,22.3,50.0,934.0,237
2023-07-02T12:47:10.212000+00:00,9118,1213,0,0.6,32.2,22.3,50.0,934.0,234
2023-07-02T12:48:10.226000+00:00,9118,1213,0,1.2,32.2,22.3,51.0,934.0,264
2023-07-02T12:49:10.241000+00:00,9118,1213,1,1.3,32.3,22.3,50.0,934.0,267
2023-07-02T12:50:10.240000+00:00,9118,1213,0,1.3,32.5,22.3,50.0,934.0,259
2023-07-02T12:51:10.254000+00:00,9118,1213,0,1.6,32.2,22.2,51.0,934.0,255
2023-07-02T12:52:10.253000+00:00,9118,1213,0,1.8,32.1,22.1,51.0,934.0,249
2023-07-02T12:53:10.252000+00:00,9118,1213,0,1.8,32.1,22.1,51.0,934.0,264
2023-07-02T12:54:10.267000+00:00,9118,1213,0,1.1,32.1,22.2,51.0,934.0,247
2023-07-02T12:55:10.297000+00:00,9118,1213,0,2.0,32.3,22.3,51.0,934.0,254
2023-07-02T12:56:10.311000+00:00,9118,1213,0,2.0,32.2,22.3,50.0,934.0,253
2023-07-02T12:57:10.310000+00:00,9118,1213,0,1.8,31.8,22.3,50.0,934.0,242
2023-07-02T12:58:10.325000+00:00,9118,1213,0,2.0,31.7,22.2,51.0,934.0,241
2023-07-02T12:59:10.324000+00:00,9118,1213,0,2.2,31.7,22.1,52.0,933.9,218
2023-07-02T13:00:10.323000+00:00,9118,1213,0,1.0,31.9,22.1,51.0,934.0,246
2023-07-02T13:01:10.322000+00:00,9118,1213,0,0.8,32.0,22.1,51.0,933.9,269
2023-07-02T13:02:10.321000+00:00,9118,1213,0,0.5,32.1,22.1,51.0,934.0,263
2023-07-02T13:03:10.319000+00:00,9118,1213,0,1.2,32.0,22.1,51.0,934.0,246
2023-07-02T13:04:10.350000+00:00,9118,1213,0,1.2,32.1,22.2,51.0,933.9,232
2023-07-02T13:05:10.349000+00:00,9118,1213,0,1.1,32.1,22.3,50.0,934.0,240
2023-07-02T13:06:10.347000+00:00,9118,1213,0,1.2,32.9,22.4,51.0,934.0,154
