meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1207,9070,31,1,,,46.52,25.642,178.0,198.0,False,,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",323.0
1207,9070,27,1,,,46.434,25.308,168.0,183.0,False,,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2051, 2051]",327.0
1207,9070,44,1,2023-04-30T11:04:03.227000+00:00,44.117,43.889,25.759,194.0,212.0,False,113.765,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",315.0
1207,9070,24,1,2023-04-30T11:04:03.227000+00:00,49.418,45.903,25.553,166.0,201.0,False,120.874,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1207,9070,20,1,2023-04-30T11:04:03.227000+00:00,48.377,45.263,25.484,186.0,205.0,False,119.124,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",324.0
1207,9070,16,1,2023-04-30T11:04:03.227000+00:00,41.202,43.607,25.675,201.0,216.0,False,110.484,"[None, 2051, 2051, 2049, 2051, 2049, 2051, 2049]","[2051, 2049, 2049, 2049, 2051, 2049, 2049, 2051, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2049, 2051]",313.0
1207,9070,1,1,2023-04-30T11:04:03.227000+00:00,41.949,43.217,25.646,200.0,215.0,False,110.812,"[None, 2049, 2049, 2051, 2049, 2051, 2049, 2051]","[2049, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 0]",320.0
1207,9070,10,1,2023-04-30T11:04:03.227000+00:00,49.036,45.605,25.499,158.0,205.0,False,120.14,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",322.0
1207,9070,21,1,2023-04-30T11:04:03.227000+00:00,49.849,45.995,25.577,160.0,193.0,False,121.421,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",322.0
1207,9070,11,1,2023-04-30T11:04:03.227000+00:00,42.871,43.341,25.506,197.0,211.0,False,111.718,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",318.0
1207,9070,55,1,2023-04-30T11:04:03.227000+00:00,43.59,43.87,25.57,191.0,204.0,False,113.03,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",318.0
1207,9070,22,1,2023-04-30T11:04:03.227000+00:00,46.754,45.222,25.586,187.0,205.0,False,117.562,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",320.0
1207,9070,14,1,2023-04-30T11:04:03.227000+00:00,44.708,44.016,25.635,194.0,198.0,False,114.359,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1207,9070,4,1,2023-04-30T11:04:03.227000+00:00,45.77,44.319,25.676,177.0,207.0,False,115.765,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1207,9070,18,1,2023-04-30T11:04:03.227000+00:00,45.281,44.127,25.56,190.0,207.0,False,114.968,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",322.0
1207,9070,81,1,2023-04-30T11:04:03.227000+00:00,47.162,45.272,25.456,187.0,199.0,False,117.89,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",320.0
1207,9070,63,1,2023-04-30T11:04:03.227000+00:00,46.124,44.9,25.756,165.0,205.0,False,116.78,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",316.0
1207,9070,23,1,2023-04-30T11:04:03.227000+00:00,47.665,45.404,25.477,174.0,196.0,False,118.546,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",323.0
1207,9070,77,1,2023-04-30T11:04:03.227000+00:00,50.212,46.516,25.693,171.0,197.0,False,122.421,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",319.0
1207,9070,2,1,2023-04-30T11:04:03.227000+00:00,48.724,45.361,25.289,169.0,195.0,False,119.374,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051]",326.0
1207,9070,16,2,2023-04-30T11:05:53.710000+00:00,38.192,43.852,25.612,196.0,213.0,False,107.656,"[2051, 2049, 2051, 2048, 2051, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2049]",315.0
