meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1207,9070,1,20,1,10,MEDIUM,0
1207,9070,1,55,1,11,MEDIUM,0
1207,9070,1,10,1,5,MEDIUM,0
1207,9070,1,16,1,11,MEDIUM,0
1207,9070,1,81,1,8,MEDIUM,0
1207,9070,1,11,1,11,MEDIUM,0
1207,9070,1,31,1,50,HARD,0
1207,9070,1,77,1,6,MEDIUM,0
1207,9070,1,1,1,10,MEDIUM,0
1207,9070,1,21,1,9,HARD,0
1207,9070,1,27,1,49,HARD,0
1207,9070,1,22,1,8,MEDIUM,0
1207,9070,1,2,1,8,MEDIUM,0
1207,9070,1,23,1,7,MEDIUM,0
1207,9070,1,63,1,11,MEDIUM,0
1207,9070,1,18,1,11,MEDIUM,0
1207,9070,1,4,1,9,MEDIUM,0
1207,9070,1,44,1,9,MEDIUM,0
1207,9070,1,24,1,11,MEDIUM,0
1207,9070,1,14,1,11,MEDIUM,0
1207,9070,2,10,6,23,HARD,0
1207,9070,2,77,7,12,HARD,0
1207,9070,2,23,8,51,HARD,0
1207,9070,2,22,9,51,HARD,0
1207,9070,2,81,9,51,HARD,0
1207,9070,2,2,9,51,HARD,0
1207,9070,2,44,10,51,HARD,0
1207,9070,2,4,10,51,HARD,0
1207,9070,2,1,11,51,HARD,0
1207,9070,2,20,11,51,HARD,0
1207,9070,2,11,12,51,HARD,0
1207,9070,2,16,12,51,HARD,0
1207,9070,2,55,12,51,HARD,0
1207,9070,2,14,12,51,HARD,0
1207,9070,2,63,12,49,HARD,0
1207,9070,2,18,12,51,HARD,3
1207,9070,2,24,12,36,HARD,0
1207,9070,3,77,13,34,HARD,0
1207,9070,3,10,24,51,HARD,0
1207,9070,4,77,35,50,MEDIUM,0
1207,9070,3,63,50,51,SOFT,0
1207,9070,2,27,50,50,SOFT,0
1207,9070,2,31,51,51,SOFT,0
