meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1141,7953,1,2,1,12,SOFT,0
1141,7953,1,22,1,10,SOFT,0
1141,7953,1,23,1,11,SOFT,0
1141,7953,1,63,1,13,SOFT,3
1141,7953,1,18,1,15,SOFT,3
1141,7953,1,4,1,10,SOFT,0
1141,7953,1,24,1,12,SOFT,0
1141,7953,1,44,1,12,SOFT,3
1141,7953,1,14,1,14,SOFT,3
1141,7953,1,20,1,15,HARD,0
1141,7953,1,55,1,13,SOFT,3
1141,7953,1,10,1,9,SOFT,0
1141,7953,1,21,1,11,SOFT,0
1141,7953,1,81,1,13,SOFT,0
1141,7953,1,16,1,13,SOFT,0
1141,7953,1,11,1,17,SOFT,3
1141,7953,1,31,1,12,SOFT,3
1141,7953,1,77,1,11,SOFT,0
1141,7953,1,1,1,14,SOFT,3
1141,7953,1,27,1,11,SOFT,3
1141,7953,2,10,10,25,HARD,0
1141,7953,2,22,11,26,HARD,0
1141,7953,2,4,11,17,HARD,0
1141,7953,2,77,12,29,HARD,0
1141,7953,2,23,12,26,SOFT,0
1141,7953,2,27,12,26,HARD,0
1141,7953,2,21,12,27,HARD,0
1141,7953,2,44,13,30,HARD,0
1141,7953,2,31,13,15,HARD,0
1141,7953,2,2,13,30,SOFT,0
1141,7953,2,24,13,32,HARD,0
1141,7953,2,16,14,33,HARD,0
1141,7953,2,55,14,31,HARD,0
1141,7953,2,63,14,31,HARD,0
1141,7953,2,1,15,36,SOFT,2
1141,7953,2,14,15,34,HARD,0
1141,7953,2,18,16,30,HARD,0
1141,7953,2,20,16,29,HARD,0
1141,7953,3,31,16,32,HARD,0
1141,7953,2,11,18,34,SOFT,2
1141,7953,3,4,18,27,SOFT,3
1141,7953,3,10,26,40,HARD,0
1141,7953,3,23,27,40,HARD,0
1141,7953,3,22,27,40,HARD,0
1141,7953,3,27,27,40,HARD,0
1141,7953,3,21,28,56,HARD,0
1141,7953,4,4,28,37,MEDIUM,0
1141,7953,3,77,30,57,HARD,0
1141,7953,3,20,30,40,SOFT,0
1141,7953,3,44,31,57,HARD,0
1141,7953,3,18,31,57,HARD,0
1141,7953,3,2,31,40,HARD,0
1141,7953,3,55,32,57,HARD,0
1141,7953,3,63,32,57,HARD,0
1141,7953,3,24,33,54,SOFT,3
1141,7953,3,16,34,39,HARD,0
1141,7953,4,31,33,41,HARD,0
1141,7953,3,11,35,57,HARD,0
1141,7953,3,14,35,57,HARD,0
1141,7953,3,1,37,57,HARD,0
1141,7953,5,4,38,47,HARD,0
1141,7953,4,10,41,57,SOFT,0
1141,7953,4,23,41,57,SOFT,0
1141,7953,4,22,41,57,SOFT,3
1141,7953,4,2,41,56,SOFT,0
1141,7953,4,20,41,56,SOFT,0
1141,7953,4,27,41,56,SOFT,3
1141,7953,6,4,48,54,SOFT,4
1141,7953,4,24,55,56,SOFT,3
1141,7953,7,4,55,55,SOFT,6
