date,session_key,meeting_key,driver_number,lap_number,pit_duration,lane_duration,stop_duration
2023-07-30T13:13:52.872000+00:00,9141,1216,4,5,25.0,25.0,
2023-07-30T13:13:54.732000+00:00,9141,1216,3,5,22.8,22.8,
2023-07-30T13:13:54.872000+00:00,9141,1216,20,5,23.6,23.6,
2023-07-30T13:15:47.371000+00:00,9141,1216,31,6,23.0,23.0,
2023-07-30T13:15:48.574000+00:00,9141,1216,77,6,23.3,23.3,
2023-07-30T13:17:39.917000+00:00,9141,1216,23,7,25.0,25.0,
2023-07-30T13:17:44.135000+00:00,9141,1216,55,7,23.3,23.3,
2023-07-30T13:17:46.151000+00:00,9141,1216,24,7,24.4,24.4,
2023-07-30T13:19:38.525000+00:00,9141,1216,2,8,23.5,23.5,
2023-07-30T13:21:22.102000+00:00,9141,1216,22,9,22.6,22.6,
2023-07-30T13:23:11.944000+00:00,9141,1216,14,10,23.0,23.0,
2023-07-30T13:26:50.911000+00:00,9141,1216,44,12,23.0,23.0,
2023-07-30T13:27:21.129000+00:00,9141,1216,27,12,24.5,24.5,
2023-07-30T13:28:34.034000+00:00,9141,1216,11,13,23.6,23.6,
2023-07-30T13:28:39.784000+00:00,9141,1216,16,13,23.2,23.2,
2023-07-30T13:30:28.299000+00:00,9141,1216,1,14,22.8,22.8,
2023-07-30T13:37:01.638000+00:00,9141,1216,4,17,23.7,23.7,
2023-07-30T13:42:38.463000+00:00,9141,1216,18,20,25.3,25.3,
2023-07-30T13:46:24.960000+00:00,9141,1216,63,22,23.8,23.8,
2023-07-30T13:46:42.507000+00:00,9141,1216,3,22,23.2,23.2,
2023-07-30T13:48:26.459000+00:00,9141,1216,23,23,23.5,23.5,
2023-07-30T13:48:26.709000+00:00,9141,1216,10,23,25.6,25.6,
2023-07-30T13:50:15.661000+00:00,9141,1216,22,24,22.7,22.7,
2023-07-30T13:50:26.723000+00:00,9141,1216,77,24,23.7,23.7,
2023-07-30T13:50:29.661000+00:00,9141,1216,27,24,25.2,25.2,
2023-07-30T13:50:34.082000+00:00,9141,1216,2,24,23.9,23.9,
2023-07-30T13:52:14.362000+00:00,9141,1216,31,25,23.3,23.3,
2023-07-30T13:52:19.066000+00:00,9141,1216,20,25,23.5,23.5,
2023-07-30T13:52:25.862000+00:00,9141,1216,24,25,24.0,24.0,
2023-07-30T13:55:23.423000+00:00,9141,1216,44,27,23.0,23.0,
2023-07-30T13:57:11.766000+00:00,9141,1216,16,28,23.1,23.1,
2023-07-30T13:58:57.311000+00:00,9141,1216,11,29,22.7,22.7,
2023-07-30T13:59:25.733000+00:00,9141,1216,14,29,23.7,23.7,
2023-07-30T14:00:39.544000+00:00,9141,1216,1,30,23.0,23.0,
2023-07-30T14:07:30.446000+00:00,9141,1216,23,33,23.5,23.5,
2023-07-30T14:09:33.023000+00:00,9141,1216,2,34,23.1,23.1,
2023-07-30T14:23:28.733000+00:00,9141,1216,44,42,23.1,23.1,
