meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1216,9141,1,20,1.0,5.0,SOFT,0
1216,9141,1,1,1.0,14.0,SOFT,0
1216,9141,1,10,1.0,23.0,SOFT,0
1216,9141,1,81,,,MEDIUM,0
1216,9141,1,16,1.0,13.0,SOFT,0
1216,9141,1,11,1.0,13.0,SOFT,0
1216,9141,1,22,1.0,9.0,MEDIUM,0
1216,9141,1,31,1.0,6.0,SOFT,0
1216,9141,1,77,1.0,6.0,SOFT,0
1216,9141,1,63,1.0,22.0,MEDIUM,0
1216,9141,1,18,1.0,20.0,MEDIUM,0
1216,9141,1,27,1.0,12.0,MEDIUM,0
1216,9141,1,2,1.0,8.0,SOFT,0
1216,9141,1,14,1.0,10.0,MEDIUM,0
1216,9141,1,23,1.0,7.0,SOFT,0
1216,9141,1,3,1.0,5.0,SOFT,0
1216,9141,1,44,1.0,12.0,SOFT,0
1216,9141,1,4,1.0,5.0,MEDIUM,0
1216,9141,1,55,1.0,7.0,SOFT,0
1216,9141,1,24,1.0,7.0,SOFT,0
1216,9141,2,4,6.0,17.0,HARD,0
1216,9141,2,3,6.0,22.0,MEDIUM,0
1216,9141,2,20,6.0,25.0,MEDIUM,0
1216,9141,2,31,7.0,25.0,MEDIUM,0
1216,9141,2,77,7.0,24.0,MEDIUM,0
1216,9141,2,23,8.0,23.0,MEDIUM,0
1216,9141,2,55,8.0,23.0,MEDIUM,0
1216,9141,2,24,8.0,25.0,MEDIUM,0
1216,9141,2,2,9.0,24.0,MEDIUM,0
1216,9141,2,22,10.0,24.0,MEDIUM,0
1216,9141,2,14,11.0,29.0,MEDIUM,0
1216,9141,2,44,13.0,27.0,MEDIUM,0
1216,9141,2,27,13.0,24.0,SOFT,0
1216,9141,2,11,14.0,29.0,MEDIUM,0
1216,9141,2,16,14.0,28.0,MEDIUM,0
1216,9141,2,1,15.0,30.0,MEDIUM,0
1216,9141,3,4,18.0,44.0,SOFT,0
1216,9141,2,18,21.0,44.0,SOFT,0
1216,9141,2,63,23.0,44.0,SOFT,0
1216,9141,3,3,23.0,44.0,MEDIUM,0
1216,9141,3,23,24.0,33.0,MEDIUM,0
1216,9141,2,10,24.0,44.0,MEDIUM,0
1216,9141,3,22,25.0,44.0,SOFT,0
1216,9141,3,77,25.0,44.0,MEDIUM,0
1216,9141,3,27,25.0,44.0,SOFT,0
1216,9141,3,2,25.0,34.0,MEDIUM,0
1216,9141,3,31,26.0,44.0,SOFT,0
1216,9141,3,20,26.0,44.0,MEDIUM,0
1216,9141,3,24,26.0,44.0,SOFT,0
1216,9141,3,44,28.0,42.0,SOFT,0
1216,9141,3,16,29.0,44.0,SOFT,0
1216,9141,3,11,30.0,44.0,SOFT,0
1216,9141,3,14,30.0,44.0,SOFT,0
1216,9141,3,1,31.0,44.0,SOFT,0
1216,9141,4,23,34.0,44.0,SOFT,0
1216,9141,4,2,35.0,44.0,SOFT,0
1216,9141,4,44,43.0,44.0,MEDIUM,0
