meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1224,9205,1,1,2023-11-05T17:03:22.841000+00:00,23.604,60.96,35.62,294.0,178.0,False,120.184,"[None, 2049, 2051, 2051, 2051, 2049, 2049]","[2051, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",207.0
1224,9205,18,1,2023-11-05T17:03:22.841000+00:00,25.197,65.592,38.27,307.0,170.0,False,129.059,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2064, 2064]",210.0
1224,9205,27,1,2023-11-05T17:03:22.841000+00:00,35.716,72.31,43.33,128.0,149.0,False,151.356,"[2049, 2049, 0, 0, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",197.0
1224,9205,14,1,2023-11-05T17:03:22.841000+00:00,24.921,64.852,37.849,309.0,188.0,False,127.622,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",213.0
1224,9205,31,1,2023-11-05T17:03:22.841000+00:00,26.592,69.072,40.567,304.0,162.0,False,136.231,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",212.0
1224,9205,44,1,2023-11-05T17:03:22.841000+00:00,24.886,63.429,36.902,298.0,189.0,False,125.217,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2064, 2064]",216.0
1224,9205,10,1,2023-11-05T17:03:22.841000+00:00,27.613,72.075,42.309,317.0,159.0,False,141.997,"[2049, 2049, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",200.0
1224,9205,4,1,2023-11-05T17:03:22.841000+00:00,24.518,61.428,36.254,299.0,190.0,False,122.2,"[None, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2051, 2064, 2064]",222.0
1224,9205,55,1,2023-11-05T17:03:22.841000+00:00,25.755,69.04,39.936,317.0,160.0,False,134.731,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",227.0
1224,9205,22,1,2023-11-05T17:03:22.841000+00:00,27.468,71.374,41.451,306.0,168.0,False,140.293,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",213.0
1224,9205,77,1,2023-11-05T17:03:22.841000+00:00,28.026,72.425,42.061,300.0,168.0,False,142.512,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",204.0
1224,9205,63,1,2023-11-05T17:03:22.841000+00:00,25.552,67.493,38.514,305.0,187.0,False,131.559,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",225.0
1224,9205,11,1,2023-11-05T17:03:22.841000+00:00,25.594,68.271,39.585,305.0,177.0,False,133.45,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",232.0
1224,9205,24,1,2023-11-05T17:03:22.841000+00:00,30.661,71.207,45.316,287.0,188.0,False,147.184,"[2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2064, 2064]",192.0
1224,9205,2,1,2023-11-05T17:03:22.841000+00:00,31.346,71.572,45.328,204.0,209.0,False,148.246,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2064, 2064]",190.0
