date,session_key,rainfall,humidity,pressure,air_temperature,wind_direction,meeting_key,track_temperature,wind_speed
2023-11-05T16:01:57.618000+00:00,9205,0,62.0,928.4,20.3,194,1224,51.4,1.8
2023-11-05T16:02:57.618000+00:00,9205,0,61.0,928.4,20.3,188,1224,51.7,2.4
2023-11-05T16:03:57.617000+00:00,9205,0,62.0,928.4,20.4,200,1224,51.3,2.0
2023-11-05T16:04:57.616000+00:00,9205,0,61.0,928.2,20.4,266,1224,51.5,2.0
2023-11-05T16:05:57.615000+00:00,9205,0,61.0,928.4,20.4,211,1224,52.4,0.8
2023-11-05T16:06:57.615000+00:00,9205,0,61.0,928.4,20.5,220,1224,52.4,1.2
2023-11-05T16:07:57.614000+00:00,9205,0,60.0,928.2,20.5,246,1224,51.6,1.3
2023-11-05T16:08:57.613000+00:00,9205,0,61.0,928.2,20.5,234,1224,50.5,1.0
2023-11-05T16:09:57.613000+00:00,9205,0,61.0,928.2,20.5,225,1224,48.1,1.0
2023-11-05T16:10:57.612000+00:00,9205,0,61.0,928.2,20.5,221,1224,48.0,1.0
2023-11-05T16:11:57.611000+00:00,9205,0,61.0,928.2,20.5,241,1224,47.3,1.2
2023-11-05T16:12:57.626000+00:00,9205,0,60.0,928.2,20.4,227,1224,47.3,0.8
2023-11-05T16:13:57.610000+00:00,9205,0,61.0,928.2,20.3,227,1224,47.3,1.0
2023-11-05T16:14:57.625000+00:00,9205,0,61.0,928.2,20.4,97,1224,47.5,0.8
2023-11-05T16:15:57.624000+00:00,9205,0,59.0,928.2,20.5,179,1224,48.2,1.2
2023-11-05T16:16:57.623000+00:00,9205,0,59.0,928.2,20.7,215,1224,50.0,1.2
2023-11-05T16:17:57.623000+00:00,9205,0,58.0,928.2,20.6,240,1224,50.0,1.2
2023-11-05T16:18:57.622000+00:00,9205,0,59.0,928.2,20.6,201,1224,50.2,1.5
2023-11-05T16:19:57.621000+00:00,9205,0,58.0,928.2,20.5,189,1224,50.4,0.8
2023-11-05T16:20:57.620000+00:00,9205,0,58.0,928.2,20.5,206,1224,50.8,1.7
2023-11-05T16:21:57.620000+00:00,9205,0,58.0,928.2,20.6,165,1224,50.2,1.3
2023-11-05T16:22:57.619000+00:00,9205,0,58.0,928.2,20.6,180,1224,49.1,1.5
2023-11-05T16:23:57.618000+00:00,9205,0,58.0,928.2,20.6,165,1224,48.7,1.1
2023-11-05T16:24:57.633000+00:00,9205,0,58.0,928.2,20.6,190,1224,48.7,1.1
2023-11-05T16:25:57.633000+00:00,9205,0,57.0,928.2,20.6,190,1224,48.4,1.3
2023-11-05T16:26:57.632000+00:00,9205,0,58.0,928.2,20.4,242,1224,48.1,1.1
2023-11-05T16:27:57.616000+00:00,9205,0,58.0,928.2,20.4,195,1224,47.9,0.8
2023-11-05T16:28:57.631000+00:00,9205,0,57.0,928.2,20.5,208,1224,47.9,1.2
2023-11-05T16:29:57.630000+00:00,9205,0,58.0,928.2,20.4,166,1224,47.9,1.3
2023-11-05T16:30:57.629000+00:00,9205,0,58.0,928.2,20.5,161,1224,48.2,1.0
2023-11-05T16:31:57.628000+00:00,9205,0,60.0,928.0,20.5,190,1224,49.6,1.1
2023-11-05T16:32:57.628000+00:00,9205,0,59.0,928.0,20.5,134,1224,50.5,1.1
2023-11-05T16:33:57.627000+00:00,9205,0,59.0,928.0,20.5,218,1224,50.8,1.1
2023-11-05T16:34:57.642000+00:00,9205,0,58.0,928.0,20.6,166,1224,50.8,0.8
2023-11-05T16:35:57.641000+00:00,9205,0,57.0,928.0,20.5,204,1224,50.5,1.1
2023-11-05T16:36:57.641000+00:00,9205,0,57.0,928.0,20.5,200,1224,50.5,1.1
2023-11-05T16:37:57.640000+00:00,9205,0,56.0,928.0,20.5,230,1224,49.8,1.0
2023-11-05T16:38:57.639000+00:00,9205,0,57.0,928.0,20.6,290,1224,49.0,1.0
2023-11-05T16:39:57.638000+00:00,9205,0,56.0,928.0,20.5,241,1224,49.0,0.6
2023-11-05T16:40:57.638000+00:00,9205,0,57.0,928.0,20.5,164,1224,49.6,1.0
2023-11-05T16:41:57.637000+00:00,9205,0,57.0,928.0,20.5,227,1224,49.7,0.8
2023-11-05T16:42:57.636000+00:00,9205,0,57.0,928.0,20.4,203,1224,49.1,1.8
2023-11-05T16:43:57.651000+00:00,9205,0,57.0,928.0,20.5,164,1224,49.6,0.8
2023-11-05T16:44:57.635000+00:00,9205,0,56.0,927.9,20.5,228,1224,49.5,1.5
2023-11-05T16:45:57.634000+00:00,9205,0,57.0,928.0,20.6,266,1224,48.3,1.2
2023-11-05T16:46:57.634000+00:00,9205,0,57.0,928.0,20.4,239,1224,47.1,1.2
2023-11-05T16:47:57.648000+00:00,9205,0,57.0,927.9,20.4,190,1224,47.5,1.2
2023-11-05T16:48:57.648000+00:00,9205,0,58.0,928.0,20.6,200,1224,48.7,1.6
2023-11-05T16:49:57.647000+00:00,9205,0,57.0,928.0,20.7,252,1224,48.2,1.5
2023-11-05T16:50:57.646000+00:00,9205,0,59.0,928.0,20.6,240,1224,47.9,1.7
2023-11-05T16:51:57.646000+00:00,9205,0,58.0,928.0,20.5,146,1224,47.5,0.6
2023-11-05T16:52:57.645000+00:00,9205,0,59.0,928.0,20.5,160,1224,47.0,0.8
2023-11-05T16:53:57.644000+00:00,9205,0,59.0,928.0,20.4,169,1224,47.0,1.0
2023-11-05T16:54:57.659000+00:00,9205,0,59.0,928.0,20.5,278,1224,47.0,1.1
2023-11-05T16:55:57.643000+00:00,9205,0,59.0,927.9,20.5,166,1224,48.5,0.8
2023-11-05T16:56:57.658000+00:00,9205,0,59.0,927.9,20.5,215,1224,46.1,1.0
2023-11-05T16:57:57.673000+00:00,9205,0,59.0,928.0,20.6,167,1224,45.9,1.2
2023-11-05T16:58:57.672000+00:00,9205,0,60.0,928.0,20.5,192,1224,47.2,1.6
2023-11-05T16:59:57.671000+00:00,9205,0,58.0,927.9,20.5,161,1224,47.2,1.6
2023-11-05T17:00:57.686000+00:00,9205,0,58.0,928.0,20.6,209,1224,46.8,1.6
