date,session_key,meeting_key,driver_number,stop_duration,pit_duration,lap_number,lane_duration
2023-06-18T18:04:56.528000+00:00,9110,1212,22,,23.6,1,23.6
2023-06-18T18:17:04.109000+00:00,9110,1212,10,,27.5,10,27.5
2023-06-18T18:18:16.186000+00:00,9110,1212,27,,24.8,11,24.8
2023-06-18T18:18:17.999000+00:00,9110,1212,18,,23.7,11,23.7
2023-06-18T18:18:21.467000+00:00,9110,1212,21,,24.9,11,24.9
2023-06-18T18:19:13.935000+00:00,9110,1212,1,,23.6,12,23.6
2023-06-18T18:19:24.482000+00:00,9110,1212,44,,24.3,12,24.3
2023-06-18T18:19:25.014000+00:00,9110,1212,14,,24.0,12,24.0
2023-06-18T18:19:37.606000+00:00,9110,1212,31,,24.4,12,24.4
2023-06-18T18:19:41.653000+00:00,9110,1212,81,,24.8,12,24.8
2023-06-18T18:19:50.356000+00:00,9110,1212,4,,25.8,12,25.8
2023-06-18T18:19:50.684000+00:00,9110,1212,23,,25.0,12,25.0
2023-06-18T18:19:55.606000+00:00,9110,1212,24,,24.1,12,24.1
2023-06-18T18:21:25.245000+00:00,9110,1212,63,,88.9,12,88.9
2023-06-18T18:42:47.254000+00:00,9110,1212,18,,23.8,27,23.8
2023-06-18T18:48:01.826000+00:00,9110,1212,27,,24.2,31,24.2
2023-06-18T18:49:22.997000+00:00,9110,1212,24,,27.5,32,27.5
2023-06-18T18:50:39.183000+00:00,9110,1212,10,,24.1,33,24.1
2023-06-18T18:51:59.213000+00:00,9110,1212,22,,27.5,34,27.5
2023-06-18T18:53:06.212000+00:00,9110,1212,4,,23.5,35,23.5
2023-06-18T18:53:59.883000+00:00,9110,1212,20,,24.9,35,24.9
2023-06-18T18:54:20.679000+00:00,9110,1212,31,,23.6,36,23.6
2023-06-18T18:54:23.367000+00:00,9110,1212,77,,24.0,36,24.0
2023-06-18T18:55:29.865000+00:00,9110,1212,11,,23.2,37,23.2
2023-06-18T18:55:45.818000+00:00,9110,1212,81,,23.4,37,23.4
2023-06-18T18:56:41.458000+00:00,9110,1212,55,,24.1,38,24.1
2023-06-18T18:57:57.238000+00:00,9110,1212,16,,24.3,39,24.3
2023-06-18T18:59:10.596000+00:00,9110,1212,44,,23.7,40,23.7
2023-06-18T19:00:23.204000+00:00,9110,1212,14,,23.9,41,23.9
2023-06-18T19:01:35+00:00,9110,1212,1,,23.9,42,23.9
2023-06-18T19:13:54.658000+00:00,9110,1212,21,,23.7,50,23.7
2023-06-18T19:17:43.092000+00:00,9110,1212,20,,24.5,53,24.5
2023-06-18T19:35:21.042000+00:00,9110,1212,11,,23.2,68,23.2
