date,session_key,meeting_key,lap_number,driver_number,pit_duration,lane_duration,stop_duration
2023-07-23T13:15:10.245000+00:00,9133,1215,8,23,22.0,22.0,
2023-07-23T13:16:32.384000+00:00,9133,1215,9,18,21.9,21.9,
2023-07-23T13:16:34.056000+00:00,9133,1215,9,77,22.1,22.1,
2023-07-23T13:16:37.321000+00:00,9133,1215,9,22,26.1,26.1,
2023-07-23T13:18:10.351000+00:00,9133,1215,10,24,29.2,29.2,
2023-07-23T13:22:23.628000+00:00,9133,1215,13,2,24.0,24.0,
2023-07-23T13:23:47.501000+00:00,9133,1215,14,20,22.7,22.7,
2023-07-23T13:24:58.984000+00:00,9133,1215,15,55,21.4,21.4,
2023-07-23T13:26:18.452000+00:00,9133,1215,16,44,21.9,21.9,
2023-07-23T13:26:34.904000+00:00,9133,1215,16,27,22.9,22.9,
2023-07-23T13:27:38.903000+00:00,9133,1215,17,4,21.5,21.5,
2023-07-23T13:27:52.778000+00:00,9133,1215,17,16,28.4,28.4,
2023-07-23T13:29:01.402000+00:00,9133,1215,18,81,21.1,21.1,
2023-07-23T13:29:32.901000+00:00,9133,1215,18,3,21.9,21.9,
2023-07-23T13:32:09.852000+00:00,9133,1215,20,14,22.9,22.9,
2023-07-23T13:35:54.223000+00:00,9133,1215,23,1,21.4,21.4,
2023-07-23T13:37:42.736000+00:00,9133,1215,24,11,21.8,21.8,
2023-07-23T13:43:43.095000+00:00,9133,1215,28,63,21.8,21.8,
2023-07-23T13:45:35.625000+00:00,9133,1215,29,3,22.2,22.2,
2023-07-23T13:48:16.247000+00:00,9133,1215,31,23,21.7,21.7,
2023-07-23T13:52:25.274000+00:00,9133,1215,34,18,22.4,22.4,
2023-07-23T13:52:46.773000+00:00,9133,1215,34,2,22.1,22.1,
2023-07-23T13:58:20.720000+00:00,9133,1215,38,27,21.9,21.9,
2023-07-23T13:58:26.142000+00:00,9133,1215,38,24,22.8,22.8,
2023-07-23T14:01:02.843000+00:00,9133,1215,40,77,23.2,23.2,
2023-07-23T14:02:55.184000+00:00,9133,1215,41,20,22.1,22.1,
2023-07-23T14:03:10.559000+00:00,9133,1215,42,81,22.0,22.0,
2023-07-23T14:03:12.700000+00:00,9133,1215,42,11,20.8,20.8,
2023-07-23T14:04:53.776000+00:00,9133,1215,43,16,21.4,21.4,
2023-07-23T14:05:04.463000+00:00,9133,1215,43,14,24.1,24.1,
2023-07-23T14:05:50.087000+00:00,9133,1215,44,4,21.4,21.4,
2023-07-23T14:06:18.603000+00:00,9133,1215,44,55,22.0,22.0,
2023-07-23T14:06:55.477000+00:00,9133,1215,44,22,21.1,21.1,
2023-07-23T14:09:11.959000+00:00,9133,1215,46,63,21.6,21.6,
2023-07-23T14:13:04.017000+00:00,9133,1215,49,44,21.7,21.7,
2023-07-23T14:15:15.906000+00:00,9133,1215,51,1,21.6,21.6,
