meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1215,9133,1,1,1,23,MEDIUM,3
1215,9133,1,81,1,18,MEDIUM,2
1215,9133,1,23,1,8,MEDIUM,0
1215,9133,1,27,1,16,MEDIUM,3
1215,9133,1,20,1,14,MEDIUM,0
1215,9133,1,11,1,24,HARD,3
1215,9133,1,2,1,13,MEDIUM,0
1215,9133,1,4,1,17,MEDIUM,0
1215,9133,1,55,1,15,SOFT,0
1215,9133,1,77,1,9,MEDIUM,3
1215,9133,1,3,1,18,MEDIUM,3
1215,9133,1,10,1,1,SOFT,0
1215,9133,1,63,1,28,HARD,0
1215,9133,1,14,1,20,MEDIUM,3
1215,9133,1,18,1,9,SOFT,0
1215,9133,1,16,1,17,MEDIUM,3
1215,9133,1,22,1,9,SOFT,0
1215,9133,1,44,1,16,MEDIUM,3
1215,9133,1,31,1,2,MEDIUM,3
1215,9133,1,24,1,10,MEDIUM,3
1215,9133,2,23,9,31,HARD,3
1215,9133,2,18,10,34,HARD,5
1215,9133,2,77,10,40,HARD,5
1215,9133,2,22,10,44,HARD,3
1215,9133,2,24,11,38,HARD,5
1215,9133,2,2,14,34,HARD,3
1215,9133,2,20,15,41,HARD,3
1215,9133,2,55,16,44,HARD,0
1215,9133,2,44,17,49,HARD,0
1215,9133,2,27,17,38,HARD,3
1215,9133,2,4,18,44,HARD,0
1215,9133,2,16,18,43,HARD,0
1215,9133,2,81,19,42,HARD,0
1215,9133,2,3,19,29,HARD,3
1215,9133,2,14,21,43,HARD,4
1215,9133,2,1,24,51,HARD,0
1215,9133,2,11,25,42,MEDIUM,6
1215,9133,2,63,29,46,MEDIUM,0
1215,9133,3,3,30,69,MEDIUM,3
1215,9133,3,23,32,69,HARD,0
1215,9133,3,18,35,69,HARD,4
1215,9133,3,2,35,67,HARD,0
1215,9133,3,27,39,69,HARD,5
1215,9133,3,24,39,69,HARD,5
1215,9133,3,77,41,69,HARD,3
1215,9133,3,20,42,69,HARD,5
1215,9133,3,81,43,70,MEDIUM,3
1215,9133,3,11,43,70,MEDIUM,3
1215,9133,3,16,44,70,HARD,4
1215,9133,3,14,44,70,HARD,0
1215,9133,3,4,45,70,MEDIUM,3
1215,9133,3,55,45,70,HARD,3
1215,9133,3,22,45,69,MEDIUM,0
1215,9133,3,63,47,70,MEDIUM,0
1215,9133,3,44,50,70,MEDIUM,3
1215,9133,3,1,52,70,MEDIUM,3
