date,session_key,stop_duration,meeting_key,driver_number,lap_number,lane_duration,pit_duration
2023-09-24T05:07:12.968000+00:00,9173,,1220,31,1,27.0,27.0
2023-09-24T05:07:15.655000+00:00,9173,,1220,24,1,41.0,41.0
2023-09-24T05:07:19.952000+00:00,9173,,1220,23,1,50.1,50.1
2023-09-24T05:07:54.608000+00:00,9173,,1220,77,1,55.8,55.8
2023-09-24T05:09:29.028000+00:00,9173,,1220,11,2,32.4,32.4
2023-09-24T05:09:44.387000+00:00,9173,,1220,2,2,32.7,32.7
2023-09-24T05:17:08.457000+00:00,9173,,1220,2,5,43.8,43.8
2023-09-24T05:19:22.908000+00:00,9173,,1220,77,6,53.5,53.5
2023-09-24T05:21:42.405000+00:00,9173,,1220,27,8,23.5,23.5
2023-09-24T05:23:20.388000+00:00,9173,,1220,22,9,22.9,22.9
2023-09-24T05:24:59.089000+00:00,9173,,1220,40,10,23.1,23.1
2023-09-24T05:25:09.105000+00:00,9173,,1220,24,10,24.0,24.0
2023-09-24T05:26:35.525000+00:00,9173,,1220,14,11,24.0,24.0
2023-09-24T05:28:47.742000+00:00,9173,,1220,20,12,23.8,23.8
2023-09-24T05:29:04.194000+00:00,9173,,1220,11,12,41.4,41.4
2023-09-24T05:29:49.553000+00:00,9173,,1220,81,13,24.4,24.4
2023-09-24T05:30:50.864000+00:00,9173,,1220,23,13,52.1,52.1
2023-09-24T05:32:01.707000+00:00,9173,,1220,18,14,23.4,23.4
2023-09-24T05:34:56.563000+00:00,9173,,1220,1,16,24.3,24.3
2023-09-24T05:35:14.813000+00:00,9173,,1220,44,16,24.8,24.8
2023-09-24T05:36:44.936000+00:00,9173,,1220,4,17,23.5,23.5
2023-09-24T05:36:47.342000+00:00,9173,,1220,16,17,23.1,23.1
2023-09-24T05:38:27.966000+00:00,9173,,1220,55,18,23.0,23.0
2023-09-24T05:38:45.809000+00:00,9173,,1220,10,18,24.4,24.4
2023-09-24T05:44:03.803000+00:00,9173,,1220,27,21,23.6,23.6
2023-09-24T05:44:51.896000+00:00,9173,,1220,2,21,35.1,35.1
2023-09-24T05:48:30.017000+00:00,9173,,1220,63,24,24.0,24.0
2023-09-24T05:50:32.297000+00:00,9173,,1220,14,25,24.2,24.2
2023-09-24T05:50:44.796000+00:00,9173,,1220,40,25,23.6,23.6
2023-09-24T05:55:32.932000+00:00,9173,,1220,31,28,23.7,23.7
2023-09-24T05:57:30.867000+00:00,9173,,1220,24,29,24.1,24.1
2023-09-24T05:59:05.413000+00:00,9173,,1220,22,30,23.3,23.3
2023-09-24T06:01:03.864000+00:00,9173,,1220,20,31,23.8,23.8
2023-09-24T06:05:01.859000+00:00,9173,,1220,16,34,22.9,22.9
2023-09-24T06:05:07.953000+00:00,9173,,1220,44,34,23.6,23.6
2023-09-24T06:05:29.046000+00:00,9173,,1220,10,34,24.6,24.6
2023-09-24T06:06:35.420000+00:00,9173,,1220,81,35,23.1,23.1
2023-09-24T06:08:07.059000+00:00,9173,,1220,4,36,23.1,23.1
2023-09-24T06:09:30.183000+00:00,9173,,1220,1,37,23.6,23.6
2023-09-24T06:10:47.666000+00:00,9173,,1220,27,37,23.3,23.3
2023-09-24T06:11:39.493000+00:00,9173,,1220,55,38,23.3,23.3
2023-09-24T06:13:16.726000+00:00,9173,,1220,11,13,2485.9,2485.9
2023-09-24T06:15:30.208000+00:00,9173,,1220,11,14,30.6,30.6
