meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1220,9173,1,20,1,12,MEDIUM,0
1220,9173,1,40,1,10,SOFT,0
1220,9173,1,2,1,2,MEDIUM,0
1220,9173,1,22,1,9,SOFT,3
1220,9173,1,10,1,18,MEDIUM,0
1220,9173,1,23,1,1,MEDIUM,0
1220,9173,1,27,1,8,SOFT,0
1220,9173,1,55,1,18,MEDIUM,0
1220,9173,1,11,1,2,MEDIUM,0
1220,9173,1,24,1,1,SOFT,0
1220,9173,1,4,1,17,MEDIUM,0
1220,9173,1,44,1,16,MEDIUM,0
1220,9173,1,31,1,1,MEDIUM,0
1220,9173,1,77,1,1,SOFT,0
1220,9173,1,63,1,24,MEDIUM,0
1220,9173,1,1,1,16,MEDIUM,0
1220,9173,1,81,1,13,MEDIUM,0
1220,9173,1,14,1,11,SOFT,3
1220,9173,1,16,1,17,MEDIUM,0
1220,9173,1,18,1,14,SOFT,0
1220,9173,2,31,2,28,HARD,0
1220,9173,2,24,2,10,SOFT,0
1220,9173,2,23,2,13,MEDIUM,0
1220,9173,2,77,2,6,SOFT,0
1220,9173,2,11,3,12,HARD,0
1220,9173,2,2,3,5,MEDIUM,2
1220,9173,3,2,6,21,MEDIUM,0
1220,9173,3,77,7,7,HARD,0
1220,9173,2,27,9,21,MEDIUM,0
1220,9173,2,22,10,30,MEDIUM,0
1220,9173,2,40,11,25,MEDIUM,0
1220,9173,3,24,11,29,SOFT,0
1220,9173,2,14,12,25,HARD,0
1220,9173,2,20,13,31,HARD,0
1220,9173,3,11,13,13,SOFT,3
1220,9173,2,81,14,35,HARD,0
1220,9173,3,23,14,26,SOFT,0
1220,9173,2,18,15,20,MEDIUM,0
1220,9173,2,1,17,37,MEDIUM,0
1220,9173,2,44,17,34,HARD,0
1220,9173,2,4,18,36,HARD,0
1220,9173,2,16,18,34,MEDIUM,0
1220,9173,2,55,19,38,MEDIUM,0
1220,9173,2,10,19,34,HARD,0
1220,9173,3,27,22,37,HARD,0
1220,9173,4,2,22,22,HARD,0
1220,9173,2,63,25,53,HARD,0
1220,9173,3,14,26,53,HARD,0
1220,9173,3,40,26,52,HARD,0
1220,9173,3,31,29,53,HARD,0
1220,9173,4,24,30,52,HARD,0
1220,9173,3,22,31,52,HARD,0
1220,9173,3,20,32,52,HARD,0
1220,9173,3,16,35,53,HARD,0
1220,9173,3,44,35,53,HARD,0
1220,9173,3,10,35,53,HARD,0
1220,9173,3,81,36,53,HARD,0
1220,9173,3,4,37,53,HARD,0
1220,9173,3,1,38,53,HARD,0
1220,9173,4,27,38,52,MEDIUM,0
1220,9173,3,55,39,53,HARD,0
1220,9173,4,11,14,14,SOFT,3
1220,9173,5,11,15,15,SOFT,6
