meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1223,9181,18,1,,,34.298,22.429,243.0,276.0,False,,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 0]",289.0
1223,9181,16,1,2023-10-29T20:03:18.321000+00:00,32.566,33.673,21.386,239.0,280.0,False,87.625,"[2048, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048]",305.0
1223,9181,1,1,2023-10-29T20:03:18.321000+00:00,32.287,32.464,21.265,275.0,279.0,False,86.016,"[2048, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2051, 2051, 2051, 2051, 2051, 2051, 2049]","[2049, 2051, 2051, 2051, 2051]",308.0
1223,9181,55,1,2023-10-29T20:03:18.321000+00:00,33.582,33.285,21.445,284.0,281.0,False,88.312,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051]",302.0
1223,9181,3,1,2023-10-29T20:03:18.321000+00:00,34.009,33.806,21.341,287.0,279.0,False,89.156,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2048]",299.0
1223,9181,44,1,2023-10-29T20:03:18.321000+00:00,34.029,34.136,21.616,293.0,281.0,False,89.781,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051]",322.0
1223,9181,81,1,2023-10-29T20:03:18.321000+00:00,34.682,34.167,22.197,272.0,287.0,False,91.046,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2048]",316.0
1223,9181,63,1,2023-10-29T20:03:18.321000+00:00,34.351,34.454,22.648,237.0,276.0,False,91.453,"[2048, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",322.0
1223,9181,77,1,2023-10-29T20:03:18.321000+00:00,35.46,36.036,22.503,249.0,282.0,False,93.999,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",295.0
1223,9181,24,1,2023-10-29T20:03:18.321000+00:00,35.164,35.416,22.263,249.0,280.0,False,92.843,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",301.0
1223,9181,10,1,2023-10-29T20:03:18.321000+00:00,35.126,34.897,22.258,253.0,279.0,False,92.281,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",293.0
