meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1223,9181,1,18,1,30,MEDIUM,1
1223,9181,1,23,1,33,HARD,0
1223,9181,1,27,1,23,MEDIUM,0
1223,9181,1,22,1,9,MEDIUM,0
1223,9181,1,20,1,23,MEDIUM,0
1223,9181,1,11,1,1,MEDIUM,0
1223,9181,1,2,1,22,MEDIUM,0
1223,9181,1,31,1,34,HARD,0
1223,9181,1,55,1,30,MEDIUM,0
1223,9181,1,24,1,21,MEDIUM,0
1223,9181,1,44,1,24,MEDIUM,0
1223,9181,1,14,1,29,MEDIUM,1
1223,9181,1,1,1,19,MEDIUM,0
1223,9181,1,3,1,27,MEDIUM,0
1223,9181,1,63,1,26,MEDIUM,0
1223,9181,1,10,1,28,MEDIUM,0
1223,9181,1,77,1,31,MEDIUM,0
1223,9181,1,16,1,31,MEDIUM,0
1223,9181,1,4,1,11,SOFT,0
1223,9181,1,81,1,25,MEDIUM,0
1223,9181,2,22,10,34,HARD,0
1223,9181,2,4,12,33,HARD,0
1223,9181,2,1,20,33,HARD,0
1223,9181,2,24,22,34,HARD,0
1223,9181,2,2,23,34,HARD,0
1223,9181,2,27,24,34,HARD,0
1223,9181,2,20,24,31,HARD,0
1223,9181,2,44,25,34,HARD,0
1223,9181,2,81,26,34,HARD,0
1223,9181,2,63,27,34,HARD,0
1223,9181,2,3,28,34,HARD,0
1223,9181,2,10,29,34,HARD,0
1223,9181,2,14,30,34,HARD,1
1223,9181,2,55,31,34,HARD,0
1223,9181,2,18,31,34,HARD,1
1223,9181,2,16,32,34,HARD,0
1223,9181,2,77,32,34,HARD,0
1223,9181,3,1,34,34,HARD,0
1223,9181,3,4,34,34,MEDIUM,0
1223,9181,2,23,34,34,MEDIUM,0
1223,9181,4,1,35,71,HARD,1
1223,9181,3,16,35,71,HARD,3
1223,9181,3,44,35,71,MEDIUM,4
1223,9181,3,55,35,71,HARD,4
1223,9181,3,81,35,71,MEDIUM,3
1223,9181,3,3,35,71,HARD,7
1223,9181,3,63,35,71,MEDIUM,5
1223,9181,3,22,35,71,HARD,0
1223,9181,3,27,35,71,MEDIUM,0
1223,9181,4,4,35,71,MEDIUM,1
1223,9181,3,10,35,71,HARD,6
1223,9181,3,23,35,71,MEDIUM,1
1223,9181,3,24,35,71,HARD,13
1223,9181,2,31,35,71,MEDIUM,0
1223,9181,3,2,35,70,MEDIUM,0
1223,9181,3,18,35,66,HARD,5
1223,9181,3,77,35,71,HARD,3
1223,9181,3,14,35,47,HARD,6
