meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1210,9094,1,1,2023-05-28T13:03:03.926000+00:00,26.121,37.42,21.053,178.0,182.0,False,84.594,"[2049, 2051, 2049, 2051, 2051, 2049]","[2051, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2051, 2049, 2051]",271.0
1210,9094,14,1,2023-05-28T13:03:03.926000+00:00,26.624,37.981,21.254,188.0,180.0,False,85.859,"[2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051]",275.0
1210,9094,31,1,2023-05-28T13:03:03.926000+00:00,27.227,38.186,21.587,168.0,176.0,False,87.0,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 0]",270.0
1210,9094,55,1,2023-05-28T13:03:03.926000+00:00,27.677,38.45,21.607,172.0,176.0,False,87.734,"[2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 0]",276.0
1210,9094,44,1,2023-05-28T13:03:03.926000+00:00,28.15,38.83,21.942,161.0,178.0,False,88.922,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",275.0
1210,9094,16,1,2023-05-28T13:03:03.926000+00:00,28.617,38.983,21.868,173.0,177.0,False,89.468,"[2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049]",278.0
1210,9094,10,1,2023-05-28T13:03:03.926000+00:00,29.126,39.087,21.849,171.0,178.0,False,90.062,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",279.0
1210,9094,63,1,2023-05-28T13:03:03.926000+00:00,29.563,39.443,21.744,160.0,169.0,False,90.75,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",279.0
1210,9094,22,1,2023-05-28T13:03:03.926000+00:00,30.089,39.573,21.994,152.0,177.0,False,91.656,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",271.0
1210,9094,4,1,2023-05-28T13:03:03.926000+00:00,30.665,39.59,22.151,154.0,175.0,False,92.406,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",276.0
