date,session_key,pit_duration,stop_duration,driver_number,meeting_key,lap_number,lane_duration
2023-08-27T13:05:06.440000+00:00,9149,22.6,,11,1217,1,22.6
2023-08-27T13:05:12.596000+00:00,9149,23.0,,24,1217,1,23.0
2023-08-27T13:05:16.565000+00:00,9149,28.4,,10,1217,1,28.4
2023-08-27T13:05:19.518000+00:00,9149,32.6,,16,1217,1,32.6
2023-08-27T13:05:23.252000+00:00,9149,32.3,,22,1217,1,32.3
2023-08-27T13:05:27.440000+00:00,9149,31.3,,20,1217,1,31.3
2023-08-27T13:05:36.987000+00:00,9149,42.6,,40,1217,1,42.6
2023-08-27T13:06:45.985000+00:00,9149,20.3,,1,1217,2,20.3
2023-08-27T13:06:47.579000+00:00,9149,20.6,,14,1217,2,20.6
2023-08-27T13:06:52.766000+00:00,9149,20.9,,55,1217,2,20.9
2023-08-27T13:07:02.688000+00:00,9149,22.5,,31,1217,2,22.5
2023-08-27T13:08:39.468000+00:00,9149,20.1,,4,1217,3,20.1
2023-08-27T13:08:56.514000+00:00,9149,20.2,,44,1217,3,20.2
2023-08-27T13:10:22.356000+00:00,9149,21.2,,63,1217,4,21.2
2023-08-27T13:10:37.481000+00:00,9149,20.0,,18,1217,4,20.0
2023-08-27T13:17:20.068000+00:00,9149,20.1,,20,1217,9,20.1
2023-08-27T13:17:47.286000+00:00,9149,19.9,,44,1217,9,19.9
2023-08-27T13:18:05.598000+00:00,9149,20.2,,18,1217,9,20.2
2023-08-27T13:18:29.723000+00:00,9149,20.2,,24,1217,10,20.2
2023-08-27T13:18:31.192000+00:00,9149,20.1,,14,1217,10,20.1
2023-08-27T13:18:36.504000+00:00,9149,19.5,,55,1217,10,19.5
2023-08-27T13:18:44.129000+00:00,9149,18.9,,22,1217,10,18.9
2023-08-27T13:18:47.066000+00:00,9149,19.7,,31,1217,10,19.7
2023-08-27T13:18:54.488000+00:00,9149,20.3,,4,1217,10,20.3
2023-08-27T13:19:09.253000+00:00,9149,30.8,,40,1217,10,30.8
2023-08-27T13:19:16.410000+00:00,9149,20.1,,63,1217,10,20.1
2023-08-27T13:19:44.190000+00:00,9149,19.2,,1,1217,11,19.2
2023-08-27T13:19:54.034000+00:00,9149,19.5,,10,1217,11,19.5
2023-08-27T13:20:14.346000+00:00,9149,27.2,,16,1217,11,27.2
2023-08-27T13:21:06.845000+00:00,9149,19.4,,11,1217,12,19.4
2023-08-27T13:25:37.934000+00:00,9149,18.9,,81,1217,15,18.9
2023-08-27T13:27:29.916000+00:00,9149,20.1,,77,1217,16,20.1
2023-08-27T13:27:31.229000+00:00,9149,20.4,,27,1217,16,20.4
2023-08-27T13:27:51.057000+00:00,9149,19.6,,63,1217,16,19.6
2023-08-27T13:28:13.650000+00:00,9149,19.6,,18,1217,16,19.6
2023-08-27T13:29:42.539000+00:00,9149,19.6,,40,1217,17,19.6
2023-08-27T13:53:58.873000+00:00,9149,19.9,,18,1217,34,19.9
2023-08-27T13:55:09.153000+00:00,9149,20.5,,20,1217,35,20.5
2023-08-27T13:57:40.728000+00:00,9149,20.4,,24,1217,37,20.4
