meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1217,9149,1,14,1,2,SOFT,0
1217,9149,1,18,1,4,SOFT,0
1217,9149,1,40,1,1,SOFT,0
1217,9149,1,27,1,16,SOFT,0
1217,9149,1,20,1,1,SOFT,0
1217,9149,1,22,1,1,SOFT,0
1217,9149,1,24,1,1,SOFT,0
1217,9149,1,10,1,1,SOFT,0
1217,9149,1,1,1,2,SOFT,0
1217,9149,1,81,1,15,SOFT,0
1217,9149,1,63,1,4,SOFT,0
1217,9149,1,23,1,44,SOFT,0
1217,9149,1,16,1,1,SOFT,0
1217,9149,1,44,1,3,MEDIUM,0
1217,9149,1,11,1,1,SOFT,0
1217,9149,1,31,1,2,SOFT,0
1217,9149,1,2,1,14,SOFT,0
1217,9149,1,4,1,3,SOFT,0
1217,9149,1,55,1,2,SOFT,0
1217,9149,1,77,1,16,SOFT,0
1217,9149,2,11,2,12,INTERMEDIATE,0
1217,9149,2,24,2,10,INTERMEDIATE,0
1217,9149,2,10,2,11,INTERMEDIATE,0
1217,9149,2,22,2,10,INTERMEDIATE,5
1217,9149,2,16,2,11,INTERMEDIATE,8
1217,9149,2,20,2,9,INTERMEDIATE,0
1217,9149,2,40,2,10,INTERMEDIATE,5
1217,9149,2,1,3,11,INTERMEDIATE,0
1217,9149,2,14,3,10,INTERMEDIATE,0
1217,9149,2,55,3,10,INTERMEDIATE,7
1217,9149,2,31,3,10,INTERMEDIATE,0
1217,9149,2,4,4,10,INTERMEDIATE,0
1217,9149,2,44,4,9,INTERMEDIATE,0
1217,9149,2,63,5,10,INTERMEDIATE,0
1217,9149,2,18,5,9,INTERMEDIATE,0
1217,9149,3,20,10,35,SOFT,0
1217,9149,3,44,10,45,SOFT,0
1217,9149,3,18,10,16,SOFT,0
1217,9149,3,24,11,37,MEDIUM,0
1217,9149,3,14,11,48,SOFT,0
1217,9149,3,55,11,41,SOFT,0
1217,9149,3,22,11,60,SOFT,0
1217,9149,3,31,11,43,SOFT,0
1217,9149,3,4,11,42,SOFT,0
1217,9149,3,40,11,17,SOFT,0
1217,9149,3,63,11,16,SOFT,0
1217,9149,3,1,12,49,SOFT,0
1217,9149,3,10,12,46,SOFT,0
1217,9149,3,16,12,41,SOFT,0
1217,9149,3,11,13,45,SOFT,0
1217,9149,2,81,16,46,SOFT,0
1217,9149,2,77,17,47,MEDIUM,0
1217,9149,2,27,17,48,MEDIUM,0
1217,9149,4,63,17,60,HARD,0
1217,9149,4,18,17,34,MEDIUM,0
1217,9149,4,40,18,46,MEDIUM,0
1217,9149,5,18,35,60,SOFT,0
1217,9149,4,20,36,60,MEDIUM,0
1217,9149,4,24,38,60,SOFT,0
1217,9149,4,55,42,60,SOFT,2
1217,9149,4,4,43,60,SOFT,3
1217,9149,4,31,44,61,SOFT,0
1217,9149,2,23,45,61,MEDIUM,0
1217,9149,4,11,46,60,SOFT,1
1217,9149,4,44,46,60,SOFT,3
1217,9149,4,10,47,60,SOFT,0
1217,9149,3,81,47,60,MEDIUM,0
1217,9149,5,40,47,59,SOFT,0
1217,9149,3,77,48,59,SOFT,0
1217,9149,4,14,49,61,SOFT,2
1217,9149,3,27,49,60,SOFT,0
1217,9149,4,1,50,61,SOFT,1
1217,9149,4,77,60,63,INTERMEDIATE,0
1217,9149,6,40,60,63,INTERMEDIATE,7
1217,9149,5,11,61,63,INTERMEDIATE,6
1217,9149,5,55,61,64,INTERMEDIATE,15
1217,9149,5,10,61,64,INTERMEDIATE,0
1217,9149,5,44,61,64,INTERMEDIATE,6
1217,9149,5,63,61,63,INTERMEDIATE,12
1217,9149,5,4,61,63,INTERMEDIATE,4
1217,9149,4,81,61,63,INTERMEDIATE,5
1217,9149,4,22,61,63,INTERMEDIATE,5
1217,9149,5,24,61,62,INTERMEDIATE,0
1217,9149,6,18,61,63,INTERMEDIATE,5
1217,9149,4,27,61,63,INTERMEDIATE,3
1217,9149,5,1,62,63,INTERMEDIATE,12
1217,9149,5,20,61,63,INTERMEDIATE,0
1217,9149,5,14,62,64,INTERMEDIATE,3
1217,9149,3,23,62,63,INTERMEDIATE,5
1217,9149,5,31,62,63,WET,0
1217,9149,6,1,64,64,WET,0
1217,9149,6,11,64,64,INTERMEDIATE,6
1217,9149,6,4,64,64,INTERMEDIATE,11
1217,9149,6,63,64,64,INTERMEDIATE,5
1217,9149,4,23,64,64,INTERMEDIATE,5
1217,9149,5,81,64,64,INTERMEDIATE,4
1217,9149,5,22,64,64,INTERMEDIATE,5
1217,9149,6,31,64,64,INTERMEDIATE,0
1217,9149,7,18,64,64,INTERMEDIATE,5
1217,9149,5,27,64,64,INTERMEDIATE,4
1217,9149,7,40,64,64,INTERMEDIATE,0
1217,9149,5,77,64,64,INTERMEDIATE,0
1217,9149,6,20,64,64,INTERMEDIATE,3
1217,9149,7,1,65,72,INTERMEDIATE,4
1217,9149,6,14,65,72,INTERMEDIATE,6
1217,9149,6,10,65,72,INTERMEDIATE,4
1217,9149,7,11,65,72,INTERMEDIATE,7
1217,9149,6,55,65,72,INTERMEDIATE,4
1217,9149,6,44,65,72,INTERMEDIATE,6
1217,9149,7,4,65,72,INTERMEDIATE,12
1217,9149,7,63,65,67,INTERMEDIATE,0
1217,9149,5,23,65,72,INTERMEDIATE,6
1217,9149,6,81,65,72,INTERMEDIATE,5
1217,9149,7,31,65,72,INTERMEDIATE,1
1217,9149,6,22,65,72,INTERMEDIATE,6
1217,9149,6,27,65,72,INTERMEDIATE,5
1217,9149,8,18,65,72,INTERMEDIATE,0
1217,9149,6,77,65,72,INTERMEDIATE,0
1217,9149,8,40,65,72,INTERMEDIATE,8
1217,9149,7,20,65,72,INTERMEDIATE,4
1217,9149,8,63,68,72,INTERMEDIATE,15
