meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1221,9221,11,1,,,41.206,47.98,217.0,101.0,False,,"[None, 2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",154.0
1221,9221,16,1,2023-10-08T17:03:33.775000+00:00,38.447,31.149,45.982,222.0,282.0,False,115.578,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",246.0
1221,9221,81,1,2023-10-08T17:03:33.775000+00:00,36.658,30.716,44.641,227.0,273.0,False,112.015,"[2048, 2049, 2049, 2049, 2051, 2051, 2051, 2049, 2049]","[2049, 2051, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",255.0
1221,9221,1,1,2023-10-08T17:03:33.775000+00:00,35.169,30.57,43.417,226.0,273.0,False,109.156,"[None, 0, 2049, 2051, 2049, 2049, 2049, 2051, 2051]","[2051, 2049, 2051, 2049, 2049, 2051, 2049]","[2051, 2051, 2049, 2049, 2049, 2049, 2051]",236.0
1221,9221,63,1,2023-10-08T17:03:33.775000+00:00,43.299,41.199,52.72,214.0,90.0,False,137.218,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2064]",242.0
1221,9221,10,1,2023-10-08T17:03:33.775000+00:00,39.485,31.778,48.815,210.0,233.0,False,120.078,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",246.0
1221,9221,31,1,2023-10-08T17:03:33.775000+00:00,38.739,31.441,46.773,221.0,276.0,False,116.953,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",254.0
1221,9221,77,1,2023-10-08T17:03:33.775000+00:00,40.056,32.307,49.637,223.0,208.0,False,122.0,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",248.0
1221,9221,44,1,2023-10-08T17:03:33.775000+00:00,,,,,,False,,"[None, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",240.0
1221,9221,4,1,2023-10-08T17:03:33.775000+00:00,39.148,31.542,47.966,222.0,276.0,False,118.656,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049]",263.0
1221,9221,14,1,2023-10-08T17:03:33.775000+00:00,37.738,30.916,44.814,226.0,274.0,False,113.468,"[None, 0, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 0]",245.0
1221,9221,22,1,2023-10-08T17:03:33.775000+00:00,39.731,32.149,49.088,221.0,196.0,False,120.968,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049]",260.0
1221,9221,23,1,2023-10-08T17:03:33.775000+00:00,41.467,33.436,49.878,210.0,122.0,False,124.781,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051]",267.0
