meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1221,9221,1,24,1.0,18.0,MEDIUM,0
1221,9221,1,4,1.0,13.0,MEDIUM,7
1221,9221,1,44,,,SOFT,0
1221,9221,1,10,1.0,11.0,MEDIUM,7
1221,9221,1,81,1.0,12.0,MEDIUM,6
1221,9221,1,31,1.0,10.0,MEDIUM,7
1221,9221,1,20,1.0,3.0,SOFT,0
1221,9221,1,40,1.0,3.0,SOFT,0
1221,9221,1,77,1.0,3.0,SOFT,3
1221,9221,1,1,1.0,17.0,MEDIUM,3
1221,9221,1,16,1.0,12.0,MEDIUM,8
1221,9221,1,11,1.0,17.0,HARD,0
1221,9221,1,22,1.0,9.0,MEDIUM,0
1221,9221,1,63,1.0,1.0,MEDIUM,7
1221,9221,1,18,1.0,3.0,MEDIUM,8
1221,9221,1,27,1.0,13.0,MEDIUM,7
1221,9221,1,2,1.0,13.0,MEDIUM,0
1221,9221,1,14,1.0,11.0,MEDIUM,5
1221,9221,1,23,1.0,18.0,MEDIUM,0
1221,9221,2,63,2.0,14.0,MEDIUM,7
1221,9221,2,77,4.0,21.0,MEDIUM,0
1221,9221,2,40,4.0,21.0,HARD,0
1221,9221,2,20,4.0,21.0,MEDIUM,0
1221,9221,2,18,4.0,21.0,MEDIUM,0
1221,9221,2,22,10.0,22.0,MEDIUM,0
1221,9221,2,31,11.0,25.0,MEDIUM,5
1221,9221,2,14,12.0,26.0,MEDIUM,5
1221,9221,2,10,12.0,26.0,MEDIUM,5
1221,9221,2,16,13.0,25.0,MEDIUM,0
1221,9221,2,81,13.0,25.0,MEDIUM,7
1221,9221,2,4,14.0,27.0,MEDIUM,6
1221,9221,2,2,14.0,26.0,MEDIUM,0
1221,9221,2,27,14.0,27.0,HARD,0
1221,9221,3,63,15.0,32.0,MEDIUM,0
1221,9221,2,1,18.0,34.0,MEDIUM,3
1221,9221,2,11,18.0,31.0,MEDIUM,6
1221,9221,2,23,19.0,31.0,MEDIUM,0
1221,9221,2,24,19.0,35.0,HARD,0
1221,9221,3,77,22.0,39.0,HARD,0
1221,9221,3,18,22.0,39.0,HARD,0
1221,9221,3,40,22.0,39.0,HARD,0
1221,9221,3,20,22.0,39.0,HARD,0
1221,9221,3,22,23.0,40.0,HARD,0
1221,9221,3,81,26.0,43.0,MEDIUM,0
1221,9221,3,31,26.0,43.0,HARD,0
1221,9221,3,16,26.0,43.0,HARD,0
1221,9221,3,14,27.0,44.0,HARD,0
1221,9221,3,10,27.0,44.0,HARD,0
1221,9221,3,2,27.0,40.0,HARD,0
1221,9221,3,4,28.0,44.0,MEDIUM,0
1221,9221,3,27,28.0,39.0,MEDIUM,6
1221,9221,3,11,32.0,43.0,MEDIUM,0
1221,9221,3,23,32.0,44.0,HARD,0
1221,9221,4,63,33.0,50.0,HARD,0
1221,9221,3,1,35.0,51.0,HARD,0
1221,9221,3,24,36.0,52.0,HARD,0
1221,9221,4,77,40.0,57.0,HARD,1
1221,9221,4,18,40.0,57.0,MEDIUM,0
1221,9221,4,20,40.0,56.0,HARD,0
1221,9221,4,40,40.0,56.0,MEDIUM,0
1221,9221,4,27,40.0,56.0,HARD,0
1221,9221,4,22,41.0,56.0,HARD,0
1221,9221,4,81,44.0,57.0,HARD,0
1221,9221,4,16,44.0,57.0,MEDIUM,0
1221,9221,4,31,44.0,57.0,MEDIUM,0
1221,9221,4,11,44.0,57.0,MEDIUM,0
1221,9221,4,4,45.0,57.0,HARD,0
1221,9221,4,14,45.0,57.0,MEDIUM,0
1221,9221,4,10,45.0,57.0,MEDIUM,0
1221,9221,4,23,45.0,57.0,HARD,0
1221,9221,5,63,51.0,57.0,SOFT,3
1221,9221,4,1,52.0,57.0,MEDIUM,0
1221,9221,4,24,53.0,57.0,SOFT,0
