meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1142,7779,1,77,1,9,MEDIUM,0
1142,7779,1,63,1,18,MEDIUM,0
1142,7779,1,27,1,11,MEDIUM,0
1142,7779,1,2,1,18,HARD,0
1142,7779,1,23,1,17,MEDIUM,0
1142,7779,1,18,1,13,MEDIUM,0
1142,7779,1,4,1,2,SOFT,0
1142,7779,1,55,1,15,MEDIUM,0
1142,7779,1,24,1,11,MEDIUM,0
1142,7779,1,44,1,18,HARD,0
1142,7779,1,14,1,18,MEDIUM,0
1142,7779,1,20,1,8,MEDIUM,0
1142,7779,1,10,1,14,MEDIUM,0
1142,7779,1,1,1,18,MEDIUM,0
1142,7779,1,21,1,17,MEDIUM,0
1142,7779,1,16,1,16,SOFT,0
1142,7779,1,81,1,1,MEDIUM,0
1142,7779,1,11,1,18,MEDIUM,0
1142,7779,1,22,1,17,MEDIUM,0
1142,7779,1,31,1,16,MEDIUM,0
1142,7779,2,81,2,50,HARD,0
1142,7779,2,4,3,19,HARD,0
1142,7779,2,20,9,50,HARD,0
1142,7779,2,77,10,17,HARD,0
1142,7779,2,24,12,18,HARD,0
1142,7779,2,27,12,50,HARD,0
1142,7779,2,18,14,16,HARD,0
1142,7779,2,10,15,50,HARD,0
1142,7779,2,55,16,50,HARD,0
1142,7779,2,16,17,50,HARD,0
1142,7779,2,31,17,50,HARD,0
1142,7779,2,22,18,50,HARD,0
1142,7779,2,23,18,27,HARD,0
1142,7779,2,21,18,50,HARD,0
1142,7779,3,77,18,35,MEDIUM,0
1142,7779,2,11,19,50,HARD,0
1142,7779,2,14,19,50,HARD,1
1142,7779,2,63,19,50,HARD,0
1142,7779,2,1,19,50,HARD,0
1142,7779,2,44,19,50,MEDIUM,0
1142,7779,2,2,19,50,MEDIUM,0
1142,7779,3,24,19,50,MEDIUM,0
1142,7779,3,4,20,50,MEDIUM,0
1142,7779,4,77,36,49,SOFT,0
