meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9165,24,1,,,45.252,28.998,283.0,238.0,False,,"[None, 2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",
1219,9165,55,1,2023-09-17T12:03:44.658000+00:00,31.63,43.449,28.577,286.0,254.0,False,103.656,"[None, 2049, 2049, 2051, 2051, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051, 2051]",187.0
1219,9165,63,1,2023-09-17T12:03:44.658000+00:00,33.857,43.702,28.566,291.0,264.0,False,106.125,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2051]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]",190.0
1219,9165,44,1,2023-09-17T12:03:44.658000+00:00,33.855,42.982,28.538,284.0,254.0,False,105.375,"[2048, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2051, 2051, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",204.0
1219,9165,16,1,2023-09-17T12:03:44.658000+00:00,32.502,43.537,28.867,271.0,257.0,False,104.906,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",200.0
1219,9165,4,1,2023-09-17T12:03:44.658000+00:00,33.993,44.349,28.439,280.0,264.0,False,106.781,"[None, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2048]",201.0
1219,9165,14,1,2023-09-17T12:03:44.658000+00:00,34.444,44.826,28.449,298.0,262.0,False,107.719,"[2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2048]",211.0
1219,9165,20,1,2023-09-17T12:03:44.658000+00:00,34.85,45.219,28.65,302.0,258.0,False,108.719,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2051]",210.0
1219,9165,31,1,2023-09-17T12:03:44.658000+00:00,34.554,45.011,28.591,292.0,262.0,False,108.156,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",215.0
1219,9165,27,1,2023-09-17T12:03:44.658000+00:00,35.215,45.507,28.825,288.0,258.0,False,109.547,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",220.0
