meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1211,9102,1,11,1,27,MEDIUM,0
1211,9102,1,31,1,13,SOFT,3
1211,9102,1,77,1,5,SOFT,0
1211,9102,1,21,1,9,SOFT,0
1211,9102,1,1,1,26,MEDIUM,0
1211,9102,1,16,1,16,HARD,0
1211,9102,1,27,1,8,SOFT,3
1211,9102,1,2,1,17,MEDIUM,0
1211,9102,1,22,1,10,SOFT,0
1211,9102,1,23,1,16,SOFT,0
1211,9102,1,63,1,25,SOFT,0
1211,9102,1,18,1,14,SOFT,3
1211,9102,1,24,1,9,SOFT,0
1211,9102,1,44,1,24,SOFT,3
1211,9102,1,14,1,19,SOFT,3
1211,9102,1,20,1,10,SOFT,0
1211,9102,1,4,1,1,SOFT,2
1211,9102,1,55,1,15,SOFT,3
1211,9102,1,10,1,19,SOFT,3
1211,9102,1,81,1,17,SOFT,2
1211,9102,2,4,2,22,HARD,0
1211,9102,2,77,6,39,HARD,0
1211,9102,2,27,9,26,MEDIUM,0
1211,9102,2,24,10,36,HARD,0
1211,9102,2,21,10,38,HARD,0
1211,9102,2,22,11,34,HARD,0
1211,9102,2,20,11,24,MEDIUM,0
1211,9102,2,31,14,35,MEDIUM,0
1211,9102,2,18,15,34,SOFT,0
1211,9102,2,55,16,41,MEDIUM,0
1211,9102,2,16,17,41,SOFT,0
1211,9102,2,23,17,37,HARD,0
1211,9102,2,81,18,39,HARD,0
1211,9102,2,2,18,36,HARD,0
1211,9102,2,14,20,44,SOFT,0
1211,9102,2,10,20,39,MEDIUM,0
1211,9102,3,4,23,50,MEDIUM,0
1211,9102,2,44,25,50,MEDIUM,0
1211,9102,3,20,25,42,HARD,0
1211,9102,2,63,26,45,MEDIUM,0
1211,9102,2,1,27,52,HARD,0
1211,9102,3,27,27,43,HARD,0
1211,9102,2,11,28,50,HARD,0
1211,9102,3,22,35,66,MEDIUM,0
1211,9102,3,18,35,66,HARD,0
1211,9102,3,31,36,66,HARD,0
1211,9102,3,24,37,66,HARD,0
1211,9102,3,2,37,65,HARD,0
1211,9102,3,23,38,65,MEDIUM,0
1211,9102,3,21,39,65,MEDIUM,0
1211,9102,3,81,40,65,MEDIUM,0
1211,9102,3,10,40,66,HARD,0
1211,9102,3,77,40,65,HARD,0
1211,9102,3,55,42,66,HARD,0
1211,9102,3,16,42,66,HARD,0
1211,9102,4,20,43,65,MEDIUM,0
1211,9102,4,27,44,65,MEDIUM,0
1211,9102,3,14,45,66,HARD,0
1211,9102,3,63,46,66,SOFT,3
1211,9102,3,44,51,66,SOFT,3
1211,9102,3,11,51,66,SOFT,0
1211,9102,4,4,51,65,SOFT,0
1211,9102,3,1,53,66,SOFT,2
