meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1226,9197,1,1,2023-11-26T13:03:25.643000+00:00,20.821,38.769,33.004,284.0,293.0,False,92.594,"[2048, 2049, 2051, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2051, 2049, 2049, 2051, 2051, 2051, 2051]",304.0
1226,9197,63,1,2023-11-26T13:03:25.643000+00:00,22.135,38.868,34.232,290.0,288.0,False,95.235,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305.0
1226,9197,16,1,2023-11-26T13:03:25.643000+00:00,21.127,38.434,33.924,287.0,308.0,False,93.485,"[None, 2049, 2049, 2049, 2051]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",305.0
1226,9197,81,1,2023-11-26T13:03:25.643000+00:00,21.501,38.531,34.296,288.0,304.0,False,94.328,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",309.0
1226,9197,27,1,2023-11-26T13:03:25.643000+00:00,24.064,40.214,35.55,280.0,291.0,False,99.828,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",288.0
1226,9197,11,1,2023-11-26T13:03:25.643000+00:00,23.902,39.841,34.742,285.0,286.0,False,98.485,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",307.0
1226,9197,4,1,2023-11-26T13:03:25.643000+00:00,22.022,38.613,34.209,288.0,284.0,False,94.844,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",309.0
1226,9197,44,1,2023-11-26T13:03:25.643000+00:00,23.476,39.669,34.527,278.0,293.0,False,97.672,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",307.0
1226,9197,20,1,2023-11-26T13:03:25.643000+00:00,25.226,40.288,36.471,282.0,277.0,False,101.985,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",309.0
1226,9197,22,1,2023-11-26T13:03:25.643000+00:00,23.086,39.136,33.981,285.0,291.0,False,96.203,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049, 2049]",312.0
1226,9197,77,1,2023-11-26T13:03:25.643000+00:00,25.205,39.862,35.683,280.0,287.0,False,100.75,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",293.0
1226,9197,31,1,2023-11-26T13:03:25.643000+00:00,24.059,39.861,34.924,290.0,310.0,False,98.844,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",311.0
1226,9197,24,1,2023-11-26T13:03:25.643000+00:00,25.488,39.804,36.005,289.0,294.0,False,101.297,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",303.0
1226,9197,14,1,2023-11-26T13:03:25.643000+00:00,22.43,40.05,34.036,286.0,290.0,False,96.516,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",298.0
1226,9197,18,1,2023-11-26T13:03:25.643000+00:00,24.035,39.74,35.303,282.0,293.0,False,99.078,"[2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",320.0
1226,9197,2,1,2023-11-26T13:03:25.643000+00:00,25.562,40.261,36.662,288.0,264.0,False,102.485,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",241.0
1226,9197,10,1,2023-11-26T13:03:25.643000+00:00,23.614,39.247,34.092,287.0,305.0,False,96.953,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]",310.0
1226,9197,3,1,2023-11-26T13:03:25.643000+00:00,24.924,40.343,35.124,284.0,298.0,False,100.391,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",267.0
1226,9197,23,1,2023-11-26T13:03:25.643000+00:00,25.322,40.189,35.489,287.0,287.0,False,101.0,"[None, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",289.0
1226,9197,55,1,2023-11-26T13:03:25.643000+00:00,24.838,39.984,35.35,281.0,292.0,False,100.172,"[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",279.0
