meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1214,9126,4,1,2023-07-09T14:03:09.766000+00:00,33.034,37.869,25.971,297.0,254.0,False,96.874,"[2048, 2051, 2049, 2051, 2051, 2049, 2049]","[2051, 2051, 2051, 2049, 2049, 2051, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2051, 2049, 2051, 2051]",285.0
1214,9126,1,1,2023-07-09T14:03:09.766000+00:00,33.359,38.051,26.073,300.0,254.0,False,97.483,"[None, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",296.0
1214,9126,81,1,2023-07-09T14:03:09.766000+00:00,33.5,38.393,26.2,306.0,254.0,False,98.093,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",297.0
1214,9126,16,1,2023-07-09T14:03:09.766000+00:00,33.839,38.716,26.084,305.0,254.0,False,98.639,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",299.0
1214,9126,21,1,2023-07-09T14:03:09.766000+00:00,37.212,40.637,26.947,272.0,251.0,False,104.796,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",300.0
1214,9126,20,1,2023-07-09T14:03:09.766000+00:00,37.845,41.08,27.183,302.0,249.0,False,106.108,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",300.0
1214,9126,55,1,2023-07-09T14:03:09.766000+00:00,34.351,39.047,26.226,304.0,256.0,False,99.624,"[None, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",303.0
1214,9126,77,1,2023-07-09T14:03:09.766000+00:00,37.328,40.871,27.112,281.0,252.0,False,105.311,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",301.0
1214,9126,63,1,2023-07-09T14:03:09.766000+00:00,34.105,38.881,25.997,297.0,255.0,False,98.983,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",300.0
1214,9126,44,1,2023-07-09T14:03:09.766000+00:00,35.808,39.336,26.167,299.0,254.0,False,101.311,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]",306.0
1214,9126,23,1,2023-07-09T14:03:09.766000+00:00,35.541,39.814,26.347,301.0,252.0,False,101.702,"[None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",308.0
