date,session_key,pit_duration,stop_duration,driver_number,lap_number,meeting_key,lane_duration
2023-07-09T14:14:59.362000+00:00,9126,41.9,,27,7,1214,41.9
2023-07-09T14:25:44.273000+00:00,9126,28.3,,22,14,1214,28.3
2023-07-09T14:31:37.391000+00:00,9126,28.2,,16,18,1214,28.2
2023-07-09T14:41:26.225000+00:00,9126,29.1,,24,24,1214,29.1
2023-07-09T14:44:05.366000+00:00,9126,28.8,,55,26,1214,28.8
2023-07-09T14:46:03.349000+00:00,9126,28.2,,21,27,1214,28.2
2023-07-09T14:47:07.832000+00:00,9126,29.4,,63,28,1214,29.4
2023-07-09T14:47:18.879000+00:00,9126,28.0,,11,28,1214,28.0
2023-07-09T14:48:34.502000+00:00,9126,28.6,,81,29,1214,28.6
2023-07-09T14:49:06.924000+00:00,9126,28.8,,2,29,1214,28.8
2023-07-09T14:51:59.061000+00:00,9126,28.4,,10,31,1214,28.4
2023-07-09T14:52:09.014000+00:00,9126,28.5,,18,31,1214,28.5
2023-07-09T14:53:40.184000+00:00,9126,29.6,,23,32,1214,29.6
2023-07-09T14:53:40.559000+00:00,9126,28.8,,16,32,1214,28.8
2023-07-09T14:54:08.949000+00:00,9126,29.6,,77,32,1214,29.6
2023-07-09T14:54:17.418000+00:00,9126,28.6,,22,32,1214,28.6
2023-07-09T14:54:24.543000+00:00,9126,28.4,,21,32,1214,28.4
2023-07-09T14:54:41.464000+00:00,9126,30.0,,27,32,1214,30.0
2023-07-09T14:54:58.871000+00:00,9126,29.0,,1,33,1214,29.0
2023-07-09T14:55:12.183000+00:00,9126,28.4,,4,33,1214,28.4
2023-07-09T14:55:27.761000+00:00,9126,29.1,,44,33,1214,29.1
2023-07-09T14:55:38.635000+00:00,9126,28.6,,14,33,1214,28.6
2023-07-09T14:56:37.462000+00:00,9126,28.7,,24,33,1214,28.7
2023-07-09T15:03:13.908000+00:00,9126,34.3,,24,36,1214,34.3
