meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1214,9126,1,31,1,9,SOFT,0
1214,9126,1,10,1,31,MEDIUM,0
1214,9126,1,21,1,27,SOFT,0
1214,9126,1,77,1,32,HARD,0
1214,9126,1,14,1,33,MEDIUM,1
1214,9126,1,23,1,32,MEDIUM,0
1214,9126,1,18,1,31,MEDIUM,0
1214,9126,1,22,1,14,SOFT,0
1214,9126,1,20,1,31,MEDIUM,0
1214,9126,1,27,1,7,HARD,0
1214,9126,1,2,1,29,MEDIUM,0
1214,9126,1,44,1,33,MEDIUM,0
1214,9126,1,4,1,33,MEDIUM,0
1214,9126,1,55,1,26,MEDIUM,0
1214,9126,1,24,1,24,MEDIUM,0
1214,9126,1,1,1,33,MEDIUM,0
1214,9126,1,81,1,29,MEDIUM,0
1214,9126,1,63,1,28,SOFT,3
1214,9126,1,16,1,18,MEDIUM,0
1214,9126,1,11,1,28,MEDIUM,0
1214,9126,2,27,8,32,MEDIUM,0
1214,9126,2,22,15,32,HARD,0
1214,9126,2,16,19,32,HARD,0
1214,9126,2,24,25,33,HARD,0
1214,9126,2,55,27,52,HARD,0
1214,9126,2,21,28,32,MEDIUM,0
1214,9126,2,63,29,52,MEDIUM,0
1214,9126,2,11,29,52,SOFT,0
1214,9126,2,81,30,52,HARD,0
1214,9126,2,2,30,52,SOFT,0
1214,9126,2,10,32,46,SOFT,3
1214,9126,2,18,32,52,SOFT,3
1214,9126,2,23,33,52,SOFT,4
1214,9126,3,16,33,52,MEDIUM,0
1214,9126,2,77,33,52,SOFT,0
1214,9126,3,22,33,52,SOFT,0
1214,9126,3,21,33,52,SOFT,0
1214,9126,3,27,33,52,SOFT,0
1214,9126,2,1,34,52,SOFT,3
1214,9126,2,4,34,52,HARD,0
1214,9126,2,44,34,52,SOFT,3
1214,9126,2,14,34,52,SOFT,3
1214,9126,3,24,34,36,SOFT,0
1214,9126,4,24,37,52,SOFT,3
