date,session_key,pit_duration,meeting_key,driver_number,lap_number,lane_duration,stop_duration
2023-10-22T19:19:48.306000+00:00,9213,25.6,1222,24,9,25.6,
2023-10-22T19:21:32.851000+00:00,9213,24.5,1222,23,10,24.5,
2023-10-22T19:21:34.633000+00:00,9213,24.7,1222,77,10,24.7,
2023-10-22T19:21:36.539000+00:00,9213,25.0,1222,20,10,25.0,
2023-10-22T19:23:21.350000+00:00,9213,24.9,1222,2,11,24.9,
2023-10-22T19:31:30.278000+00:00,9213,23.7,1222,1,16,23.7,
2023-10-22T19:33:06.808000+00:00,9213,24.1,1222,4,17,24.1,
2023-10-22T19:33:18.589000+00:00,9213,23.6,1222,55,17,23.6,
2023-10-22T19:33:22.870000+00:00,9213,24.2,1222,11,17,24.2,
2023-10-22T19:33:31.073000+00:00,9213,24.3,1222,22,17,24.3,
2023-10-22T19:35:10.384000+00:00,9213,23.9,1222,10,18,23.9,
2023-10-22T19:37:06.772000+00:00,9213,25.0,1222,14,19,25.0,
2023-10-22T19:37:15.772000+00:00,9213,26.5,1222,27,19,26.5,
2023-10-22T19:38:19.318000+00:00,9213,24.9,1222,44,20,24.9,
2023-10-22T19:38:53.458000+00:00,9213,24.4,1222,18,20,24.4,
2023-10-22T19:40:14.316000+00:00,9213,24.3,1222,63,21,24.3,
2023-10-22T19:42:16.017000+00:00,9213,24.3,1222,3,22,24.3,
2023-10-22T19:43:34.656000+00:00,9213,23.9,1222,16,23,23.9,
2023-10-22T19:51:14.054000+00:00,9213,24.7,1222,24,27,24.7,
2023-10-22T19:52:54.896000+00:00,9213,25.0,1222,77,28,25.0,
2023-10-22T19:54:33.519000+00:00,9213,24.3,1222,23,29,24.3,
2023-10-22T19:54:49.581000+00:00,9213,24.7,1222,20,29,24.7,
2023-10-22T19:59:50.420000+00:00,9213,25.5,1222,2,32,25.5,
2023-10-22T20:02:16.870000+00:00,9213,23.3,1222,4,34,23.3,
2023-10-22T20:02:51.557000+00:00,9213,24.1,1222,22,34,24.1,
2023-10-22T20:03:12.572000+00:00,9213,24.3,1222,27,34,24.3,
2023-10-22T20:03:56.681000+00:00,9213,24.9,1222,1,35,24.9,
2023-10-22T20:04:06.900000+00:00,9213,23.6,1222,55,35,23.6,
2023-10-22T20:07:31.958000+00:00,9213,23.7,1222,11,37,23.7,
2023-10-22T20:07:53.521000+00:00,9213,24.8,1222,10,37,24.8,
2023-10-22T20:09:06.800000+00:00,9213,24.6,1222,44,38,24.6,
2023-10-22T20:11:11.814000+00:00,9213,23.9,1222,63,39,23.9,
2023-10-22T20:13:10.359000+00:00,9213,23.9,1222,18,40,23.9,
2023-10-22T20:16:26.105000+00:00,9213,24.8,1222,14,42,24.8,
2023-10-22T20:25:42.017000+00:00,9213,26.5,1222,3,47,26.5,
2023-10-22T20:36:59.521000+00:00,9213,23.4,1222,22,54,23.4,
