meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1222,9213,1,14,1,19,MEDIUM,0
1222,9213,1,3,1,22,MEDIUM,0
1222,9213,1,23,1,10,MEDIUM,3
1222,9213,1,4,1,17,MEDIUM,0
1222,9213,1,55,1,17,MEDIUM,0
1222,9213,1,24,1,9,MEDIUM,0
1222,9213,1,44,1,20,MEDIUM,0
1222,9213,1,10,1,18,MEDIUM,0
1222,9213,1,81,1,10,MEDIUM,0
1222,9213,1,31,1,6,MEDIUM,0
1222,9213,1,20,1,10,MEDIUM,0
1222,9213,1,77,1,10,MEDIUM,0
1222,9213,1,1,1,16,MEDIUM,0
1222,9213,1,16,1,23,MEDIUM,0
1222,9213,1,27,1,19,HARD,0
1222,9213,1,2,1,11,MEDIUM,0
1222,9213,1,22,1,17,MEDIUM,0
1222,9213,1,11,1,17,MEDIUM,0
1222,9213,1,18,1,20,HARD,0
1222,9213,1,63,1,21,MEDIUM,0
1222,9213,2,24,10,27,HARD,0
1222,9213,2,23,11,29,HARD,0
1222,9213,2,77,11,28,HARD,0
1222,9213,2,20,11,29,HARD,0
1222,9213,2,2,12,32,HARD,0
1222,9213,2,1,17,35,MEDIUM,0
1222,9213,2,4,18,34,HARD,0
1222,9213,2,55,18,35,MEDIUM,0
1222,9213,2,11,18,37,MEDIUM,0
1222,9213,2,22,18,34,HARD,0
1222,9213,2,10,19,37,MEDIUM,0
1222,9213,2,14,20,42,MEDIUM,0
1222,9213,2,27,20,34,MEDIUM,0
1222,9213,2,44,21,38,HARD,0
1222,9213,2,18,21,40,MEDIUM,0
1222,9213,2,63,22,39,HARD,0
1222,9213,2,3,23,47,HARD,0
1222,9213,2,16,24,56,HARD,0
1222,9213,3,24,28,55,HARD,0
1222,9213,3,77,29,56,HARD,0
1222,9213,3,23,30,56,MEDIUM,6
1222,9213,3,20,30,55,MEDIUM,0
1222,9213,3,2,33,56,MEDIUM,0
1222,9213,3,4,35,56,HARD,0
1222,9213,3,22,35,54,MEDIUM,0
1222,9213,3,27,35,56,MEDIUM,6
1222,9213,3,1,36,56,HARD,0
1222,9213,3,55,36,56,HARD,0
1222,9213,3,11,38,56,HARD,0
1222,9213,3,10,38,56,HARD,0
1222,9213,3,44,39,56,MEDIUM,0
1222,9213,3,63,40,56,MEDIUM,0
1222,9213,3,18,41,56,MEDIUM,0
1222,9213,3,14,43,49,HARD,0
1222,9213,3,3,48,55,SOFT,0
1222,9213,4,22,55,56,SOFT,0
