date,session_key,meeting_key,wind_direction,air_temperature,pressure,humidity,rainfall,wind_speed,track_temperature
2023-10-22T18:01:47.219000+00:00,9213,1222,85,28.6,995.0,49.0,0,3.2,39.4
2023-10-22T18:02:47.218000+00:00,9213,1222,108,28.6,995.2,50.0,0,4.0,39.3
2023-10-22T18:03:47.216000+00:00,9213,1222,87,28.6,995.2,50.0,0,1.8,39.2
2023-10-22T18:04:47.215000+00:00,9213,1222,91,28.6,995.0,50.0,0,3.4,39.9
2023-10-22T18:05:47.214000+00:00,9213,1222,99,28.6,995.0,50.0,0,3.0,40.0
2023-10-22T18:06:47.213000+00:00,9213,1222,137,28.5,995.0,51.0,0,1.8,39.9
2023-10-22T18:07:47.228000+00:00,9213,1222,134,28.5,995.0,51.0,0,2.5,39.2
2023-10-22T18:08:47.242000+00:00,9213,1222,113,28.5,995.0,49.0,0,3.5,39.2
2023-10-22T18:09:47.241000+00:00,9213,1222,97,28.8,995.0,49.0,0,2.4,39.6
2023-10-22T18:10:47.240000+00:00,9213,1222,99,28.8,995.0,50.0,0,3.0,39.6
2023-10-22T18:11:47.255000+00:00,9213,1222,108,28.9,994.9,45.0,0,4.0,39.6
2023-10-22T18:12:47.269000+00:00,9213,1222,111,29.0,995.0,44.0,0,5.3,40.3
2023-10-22T18:13:47.268000+00:00,9213,1222,100,29.0,994.9,45.0,0,5.1,40.2
2023-10-22T18:14:47.267000+00:00,9213,1222,110,29.0,994.9,46.0,0,3.5,39.9
2023-10-22T18:15:47.266000+00:00,9213,1222,132,29.0,995.0,46.0,0,3.4,39.9
2023-10-22T18:16:47.281000+00:00,9213,1222,104,29.0,994.9,46.0,0,3.5,40.0
2023-10-22T18:17:47.279000+00:00,9213,1222,106,29.1,994.9,45.0,0,3.4,40.0
2023-10-22T18:18:47.294000+00:00,9213,1222,111,29.2,994.9,46.0,0,2.4,39.6
2023-10-22T18:19:47.309000+00:00,9213,1222,116,29.1,994.7,46.0,0,3.0,39.2
2023-10-22T18:20:47.323000+00:00,9213,1222,100,29.0,994.9,47.0,0,3.2,39.9
2023-10-22T18:21:47.353000+00:00,9213,1222,97,28.9,994.7,47.0,0,4.0,39.9
2023-10-22T18:22:47.352000+00:00,9213,1222,85,28.7,994.7,48.0,0,3.4,39.8
2023-10-22T18:23:47.351000+00:00,9213,1222,126,28.8,994.7,48.0,0,3.4,39.8
2023-10-22T18:24:47.350000+00:00,9213,1222,101,28.9,994.7,47.0,0,3.9,40.2
2023-10-22T18:25:47.349000+00:00,9213,1222,103,29.0,994.7,47.0,0,3.7,39.7
2023-10-22T18:26:47.348000+00:00,9213,1222,102,29.0,994.5,47.0,0,2.5,39.2
2023-10-22T18:27:47.347000+00:00,9213,1222,97,29.0,994.7,48.0,0,3.0,39.4
2023-10-22T18:28:47.346000+00:00,9213,1222,124,29.0,994.7,48.0,0,3.7,39.4
2023-10-22T18:29:47.345000+00:00,9213,1222,98,29.0,994.5,48.0,0,3.7,39.6
2023-10-22T18:30:47.359000+00:00,9213,1222,111,29.0,994.5,48.0,0,3.2,39.8
2023-10-22T18:31:47.342000+00:00,9213,1222,105,29.2,994.5,47.0,0,4.4,39.6
2023-10-22T18:32:47.357000+00:00,9213,1222,94,29.3,994.5,45.0,0,3.5,39.7
2023-10-22T18:33:47.356000+00:00,9213,1222,101,29.1,994.5,46.0,0,3.4,39.5
2023-10-22T18:34:47.355000+00:00,9213,1222,91,29.0,994.5,46.0,0,2.7,39.4
2023-10-22T18:35:47.354000+00:00,9213,1222,89,29.0,994.5,47.0,0,2.2,39.4
2023-10-22T18:36:47.368000+00:00,9213,1222,139,29.0,994.5,46.0,0,1.0,39.6
2023-10-22T18:37:47.367000+00:00,9213,1222,99,29.0,994.5,46.0,0,2.7,40.0
2023-10-22T18:38:47.351000+00:00,9213,1222,102,29.2,994.5,46.0,0,3.4,40.0
2023-10-22T18:39:47.365000+00:00,9213,1222,109,29.2,994.5,46.0,0,3.0,40.0
2023-10-22T18:40:47.364000+00:00,9213,1222,99,29.2,994.4,45.0,0,2.0,40.0
2023-10-22T18:41:47.363000+00:00,9213,1222,102,29.3,994.4,44.0,0,3.2,40.3
2023-10-22T18:42:47.362000+00:00,9213,1222,102,29.5,994.4,44.0,0,3.2,40.3
2023-10-22T18:43:47.361000+00:00,9213,1222,101,29.6,994.4,44.0,0,4.4,40.5
2023-10-22T18:44:47.360000+00:00,9213,1222,111,29.6,994.4,44.0,0,4.4,40.9
2023-10-22T18:45:47.359000+00:00,9213,1222,107,29.6,994.4,44.0,0,3.4,40.4
2023-10-22T18:46:47.358000+00:00,9213,1222,109,29.5,994.2,43.0,0,4.0,40.4
2023-10-22T18:47:47.357000+00:00,9213,1222,106,29.4,994.4,43.0,0,4.0,40.2
2023-10-22T18:48:47.371000+00:00,9213,1222,101,29.3,994.2,43.0,0,3.2,39.7
2023-10-22T18:49:47.370000+00:00,9213,1222,107,29.2,994.2,43.0,0,3.0,39.9
2023-10-22T18:50:47.369000+00:00,9213,1222,102,29.4,994.2,44.0,0,1.7,39.9
2023-10-22T18:51:47.368000+00:00,9213,1222,96,29.5,994.2,44.0,0,4.3,39.8
2023-10-22T18:52:47.382000+00:00,9213,1222,110,29.5,994.2,44.0,0,3.7,39.8
2023-10-22T18:53:47.428000+00:00,9213,1222,76,29.6,994.2,44.0,0,3.5,39.6
2023-10-22T18:54:47.411000+00:00,9213,1222,86,29.5,994.0,44.0,0,4.3,39.9
2023-10-22T18:55:47.410000+00:00,9213,1222,98,29.5,994.0,44.0,0,4.5,40.3
2023-10-22T18:56:47.441000+00:00,9213,1222,100,29.5,994.2,43.0,0,5.3,40.3
2023-10-22T18:57:47.440000+00:00,9213,1222,98,29.6,994.2,43.0,0,4.0,41.0
2023-10-22T18:58:47.438000+00:00,9213,1222,127,29.7,994.0,44.0,0,1.7,40.2
2023-10-22T18:59:47.453000+00:00,9213,1222,92,29.7,994.2,43.0,0,1.6,39.8
2023-10-22T19:00:47.452000+00:00,9213,1222,102,29.7,994.0,43.0,0,2.2,40.2
2023-10-22T19:01:47.466000+00:00,9213,1222,112,29.6,994.0,42.0,0,3.7,41.1
2023-10-22T19:02:47.465000+00:00,9213,1222,132,29.8,994.0,42.0,0,3.5,40.9
2023-10-22T19:03:47.464000+00:00,9213,1222,103,29.9,994.0,42.0,0,2.9,40.8
2023-10-22T19:04:47.479000+00:00,9213,1222,100,29.9,994.0,42.0,0,2.5,40.9
2023-10-22T19:05:47.493000+00:00,9213,1222,109,29.8,993.9,42.0,0,3.0,40.8
2023-10-22T19:06:47.508000+00:00,9213,1222,111,29.9,994.0,42.0,0,2.2,40.8
2023-10-22T19:07:47.554000+00:00,9213,1222,95,29.9,994.0,41.0,0,2.9,40.7
2023-10-22T19:08:47.506000+00:00,9213,1222,99,29.9,994.0,42.0,0,3.2,40.7
2023-10-22T19:09:47.505000+00:00,9213,1222,96,29.9,994.0,41.0,0,4.0,40.7
2023-10-22T19:10:47.504000+00:00,9213,1222,107,29.9,993.9,42.0,0,4.0,40.6
2023-10-22T19:11:47.503000+00:00,9213,1222,100,30.0,993.9,43.0,0,2.5,40.5
2023-10-22T19:12:47.501000+00:00,9213,1222,100,30.0,994.0,43.0,0,3.9,40.6
2023-10-22T19:13:47.500000+00:00,9213,1222,97,30.0,994.0,42.0,0,3.7,40.5
2023-10-22T19:14:47.499000+00:00,9213,1222,102,30.0,993.9,41.0,0,3.2,41.0
2023-10-22T19:15:47.498000+00:00,9213,1222,123,30.0,993.9,40.0,0,4.1,40.5
2023-10-22T19:16:47.513000+00:00,9213,1222,118,30.0,993.7,41.0,0,3.4,41.1
2023-10-22T19:17:47.512000+00:00,9213,1222,102,30.0,993.7,41.0,0,2.4,41.1
2023-10-22T19:18:47.511000+00:00,9213,1222,105,30.0,993.7,41.0,0,3.5,40.3
2023-10-22T19:19:47.510000+00:00,9213,1222,107,30.0,993.9,41.0,0,3.2,40.4
