meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1225,9189,1,10,1,17,MEDIUM,0
1225,9189,1,81,1,16,HARD,1
1225,9189,1,16,1,21,MEDIUM,0
1225,9189,1,11,1,1,MEDIUM,0
1225,9189,1,31,1,20,MEDIUM,0
1225,9189,1,77,1,1,MEDIUM,0
1225,9189,1,63,1,15,MEDIUM,0
1225,9189,1,1,1,16,MEDIUM,0
1225,9189,1,27,1,12,MEDIUM,0
1225,9189,1,22,1,10,SOFT,0
1225,9189,1,2,1,15,MEDIUM,0
1225,9189,1,3,1,17,MEDIUM,0
1225,9189,1,23,1,16,MEDIUM,0
1225,9189,1,18,1,3,SOFT,4
1225,9189,1,55,1,3,MEDIUM,0
1225,9189,1,44,1,17,HARD,0
1225,9189,1,4,1,2,MEDIUM,1
1225,9189,1,24,1,26,HARD,0
1225,9189,1,14,1,1,MEDIUM,0
1225,9189,1,20,1,14,MEDIUM,0
1225,9189,2,11,2,26,HARD,0
1225,9189,2,14,2,26,HARD,0
1225,9189,2,77,2,24,HARD,0
1225,9189,2,18,4,26,HARD,1
1225,9189,2,55,4,26,HARD,0
1225,9189,2,22,11,21,MEDIUM,0
1225,9189,2,27,13,26,HARD,0
1225,9189,2,20,15,26,HARD,0
1225,9189,2,63,16,26,HARD,0
1225,9189,2,2,16,50,HARD,0
1225,9189,2,1,17,26,HARD,0
1225,9189,2,23,17,50,HARD,0
1225,9189,2,81,17,43,HARD,1
1225,9189,2,10,18,50,HARD,0
1225,9189,2,3,18,50,HARD,0
1225,9189,2,44,18,26,MEDIUM,0
1225,9189,2,31,21,50,HARD,0
1225,9189,2,16,22,50,HARD,0
1225,9189,3,22,22,46,HARD,0
1225,9189,3,77,25,50,MEDIUM,0
1225,9189,3,11,27,50,HARD,0
1225,9189,3,1,27,50,HARD,0
1225,9189,3,18,27,50,HARD,0
1225,9189,3,55,27,50,HARD,0
1225,9189,3,63,27,50,HARD,0
1225,9189,3,14,27,50,HARD,0
1225,9189,2,24,27,50,MEDIUM,0
1225,9189,3,20,27,50,HARD,0
1225,9189,3,27,27,45,HARD,0
1225,9189,3,44,27,50,HARD,0
1225,9189,3,81,44,50,MEDIUM,1
