meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1208,9078,1,18,1,42,HARD,1
1208,9078,1,4,1,4,SOFT,0
1208,9078,1,44,1,37,HARD,0
1208,9078,1,55,1,18,MEDIUM,0
1208,9078,1,24,1,31,HARD,0
1208,9078,1,14,1,24,MEDIUM,1
1208,9078,1,20,1,14,MEDIUM,0
1208,9078,1,21,1,15,MEDIUM,0
1208,9078,1,10,1,15,MEDIUM,0
1208,9078,1,81,1,5,SOFT,0
1208,9078,1,16,1,17,MEDIUM,0
1208,9078,1,11,1,20,MEDIUM,0
1208,9078,1,31,1,39,HARD,0
1208,9078,1,77,1,15,MEDIUM,0
1208,9078,1,63,1,17,MEDIUM,0
1208,9078,1,1,1,45,HARD,0
1208,9078,1,27,1,33,HARD,0
1208,9078,1,2,1,2,MEDIUM,0
1208,9078,1,22,1,36,HARD,0
1208,9078,1,23,1,22,MEDIUM,0
1208,9078,2,2,3,56,HARD,0
1208,9078,2,4,5,57,HARD,0
1208,9078,2,81,6,56,HARD,0
1208,9078,2,20,15,57,HARD,0
1208,9078,2,10,16,57,HARD,0
1208,9078,2,77,16,57,HARD,0
1208,9078,2,21,16,57,HARD,0
1208,9078,2,63,18,57,HARD,0
1208,9078,2,16,18,57,HARD,0
1208,9078,2,55,19,57,HARD,0
1208,9078,2,11,21,57,HARD,0
1208,9078,2,23,23,57,HARD,0
1208,9078,2,14,25,57,HARD,1
1208,9078,2,24,32,57,MEDIUM,0
1208,9078,2,27,34,57,MEDIUM,0
1208,9078,2,22,37,57,MEDIUM,0
1208,9078,2,44,38,57,MEDIUM,0
1208,9078,2,31,40,57,MEDIUM,0
1208,9078,2,18,43,57,MEDIUM,1
1208,9078,2,1,46,57,MEDIUM,0
